development|n.发展；开发；生长；进展；[摄]显影；新开发区
upstairs|adv.在楼上；往楼上；在高处；头脑上; n.楼上; adj.楼上的；上层的
achieve|v.完成；达到；实现
sign|n.手势；招牌；符号；迹象；正负号; v.签；签名；做手势；做标记
expected|adj.预期的；预料的
contract|n.合同；婚约；合约；契约; v.缩小；订合同；缩短；感染（疾病）；招致
organization|n.机构；组织; adj.有组织的
community|n.社区；社会；公众；共同体；团体；共享；共有；[生]群落
film|n.电影；薄膜；胶卷; vt.把...拍成电影；给...覆上一薄层；拍照片; vi.变朦胧；拍摄电影
restaurant|n.餐馆；饭店
responsibility|n.责任；职责；责任心
hesitate|vi.犹豫；不情愿；口吃
management|n.管理；管理部门；手腕
sugar|n.糖，食糖；糖缸；甜言蜜语，阿谀奉承；宝贝，心肝; v.使甜；在...上撒糖
amaze|vt.使吃惊；使惊异; vi.惊讶; n.吃惊；好奇
political|adj.政治的；政治上的；政党的；人事的；争权夺利的
December|n.十二月
royal|adj.盛大的；皇家的；高贵的；第一流的；堂皇的; n.顶桅帆；王室成员，贵族；纸张规格（书写纸19×24寸/印刷纸20×25寸）
press|v.按；压；逼迫；强迫服役；征用; n.新闻界；出版社；报刊；新闻舆论；压；熨烫机；印刷机
running|adv.连续地; n.跑步；运转；管理
documentary|n.纪录片; adj.纪实的；文件形式的
thousands|n.数千
size|n.大小；规模；尺寸；尺码；浆料；胶料; v.按大小排列(或分类)；给…上胶; adj.（用于复合词）…大小的
army|n.军队；陆军；一大批
string|n.线；弦；一串；字串; vt.串起；收紧；悬挂；系；扎；抽去筋；使紧张；使兴奋; vi.连成一串
county|n.郡；县; adj.有郡中豪绅习气的
theory|n.学说；理论；原理；意见
issue|n.议题；问题；期刊号；一次发行额；发行；子女; v.发表；公布；正式发给；发行；流出
financial|adj.金融的；财政的；有钱的
particularly|adv.特别；尤其；详细地
salad|n.色拉；凉拌生菜；杂烩
ensure|vt.担保；保证；使安全；确保
further|adj.更远的; adv.进一步地；此外; v.促进；推动
field|n.田地；领域；运动场；场地；田野；JAVA中的范畴; vt.接球；派……上场；顺利处理; vi.担任外场员; adj.田间的；野外的
construction|n.建设；结构；建筑物；建造；构造；解释
topic|n.题目；话题；标题
account|n.账户；帐目；赊账；老主顾；报告；描述；解释；说明；估计；理由；利益；好处；根据; v.解释；导致；报账；把...视为；归咎(于)
worse|adj.更坏的；更差的；更严重的; adv.更坏；更差; n.更坏的事物
underground|adj.地下的；秘密的; adv.在地下；秘密地; n.地下；地铁；地道；秘密活动
contact|n.接触；联系；熟人; v.(与)联系；(与)接触; adj.接触的
elementary|adj.基本的；初级的；元素的
model|n.模范；模特儿；模型; adj.模范的；作模型用的; v.做模型；模仿；塑造
earlier|adj.早的；初期的; adv.更早地
considered|adj.考虑过的；被尊重的
claim|n.要求；要求权；主张；断言；声称；要求物; vt.要求；请求；主张；声称；断言
wife|n.妻子；夫人
lazy|adj.懒惰的；懒散的
owner|n.所有人；物主
October|n.十月
daughter|n.女儿；子代; adj.女儿的；女儿似的
simply|adv.简单地；仅仅；简直
required|adj.必需的
performance|n.表演；实行；表现；履行；性能；本事；业绩
minister|n.外交使节；部长；大臣；牧师; v.照顾；给予帮助
commission|n.佣金；委员会；委托；委任；犯罪; vt.授予；使服役；委托
effective|adj.有效的；生效的；实际的
recent|adj.近来的；新近的
investment|n.投资；投资额；投入
considerable|adj.重要的；相当大的；可观的
response|n.反应；回答；响应；答复
lord|n.君王；勋爵；统治者；[大写]上帝；主; v.使…成君主；支配；作威作福
handful|n.一把；少数；难控制的人；棘手之事
centre|n.中心；集中点; v.居中；使集中; =center; adj.中心的；中央的
goods|n.货物；商品；动产; n.罪证
slide|vi.滑动；下滑；滑入；悄悄地溜走; vt.使滑动; n.幻灯片；滑坡；滑动；雪崩
unique|adj.独特的；独一无二的；稀罕的
agreement|n.同意；一致；协议
herself|pron.她自己；她亲自
January|n.一月
spirit|n.精神；心灵；幽灵；精灵; (复)spirits：精力；情绪；烈酒.; v.使精神振作；偷偷带走
