engaged|adj.忙碌的；使用中的；订婚了的
legacy|n.遗赠物；先人或过去遗留下来的东西; adj.[计算机]旧系统的
rightful|adj.正确的；合法的；依法享有权利的
pitiful|adj.慈悲的；可怜的；凄惨的
quest|n.探索；寻求; v.寻找；搜索
peer|n.同辈；同等的人；贵族; vi.凝视；窥视
curse|n.诅咒；咒骂；祸端; vt.诅咒；咒骂；使受罪; vi.诅咒；咒骂
household|n.家庭；户; adj.家庭的；家喻户晓的
banish|vt.驱逐；流放；消除
crow|n.乌鸦；啼叫；欢叫; v.报晓；啼叫；欢叫；夸口；洋洋自得
fiery|adj.火的；炽热的；激烈的；暴躁的；辛辣的
terribly|adv.可怕地；非常地；很
eternal|adj.永久的；永恒的; n.永恒的事
ox|n.牛；公牛
echo|vi.发出回声；回响; vt.重复；模仿；附和; n.回声；重复；共鸣; Echo.; n.[希神]山林女神（失恋于那喀索斯；其哀声留于山间成为回声）
whine|n.闹声；抱怨；牢骚; v.哭诉；发牢骚
foresee|v.预见；预知
delight|n.高兴；快乐; v.(使)高兴；(使)欣喜
lining|n.衬里；内层
elaborate|adj.详尽的；复杂的；精心的；精美的; v.详细地说明；用心制作；推敲；变得复杂
stink|n.臭味；臭气; vi.发臭味；招人讨厌
slap|n.侮辱；掴；拍击声; vt.侮辱；拍击；惩罚；申斥; adv.直接地；正面地；突然地
charming|adj.迷人的
frantic|adj.疯狂的；狂乱的；急忙的
downstream|adv.朝下游方向; adj.顺流的
dart|n.飞镖；投射；突进；缝褶; vi.快速投掷；突然移动; vt.使突然移动
tournament|n.锦标赛；比赛；比武
rack|n.行李架；（放衣物、碗碟等的）架子；拷问台；折磨；（比赛开始前固定球位置的）三角框; vt.使痛苦；把...放在架子上；累计取得
cunning|adj.狡猾的；有眼光的；精巧的；可爱的; n.【C】狡诈；灵巧
slippery|adj.滑的；狡猾的；不可靠的
eyeing|vbl.注视
veil|n.面纱；面罩；掩饰物; vt.使戴面纱；遮蔽; vi.戴面纱
cursing|n.咒骂；诅咒
hospitality|n.款待；殷勤；好客；酒店管理
rag|n.破布；碎布；破衣服；（低劣的）报纸
sneeze|n.喷嚏; vi.打喷嚏
horribly|adv.可怕地；恐怖地；极其
sadly|adv.悲哀地；遗憾的是；极为
sweat|n.汗水; n.焦急；繁重工作；(凝结在物体表面的)水珠; v.(使)出汗
knockout|adj.引人注目的；杰出的；迷人的；猛烈的; n.打出；击倒；引人注目的人或物
warriors|武士
butcher|n.屠夫；刽子手；肉商；小贩; vt.屠宰；滥杀；将某事弄得一团糟
brute|n.畜生；残忍的人; adj.残忍的；无理性的；粗暴的
superstition|n.迷信；没有根据的理论
bearing|n.轴承；举止；忍受；支撑物；影响
beloved|adj.心爱的; n.爱人
turf|n.草皮；泥炭；赛马场；赛马; v.铺草皮
liver|n.肝脏
howling|adj.咆哮的；哭哭啼啼的；寂寥的
condo|n.[口]分户出售公寓大厦; =condominium.
silently|adv.沉默地；寂静地
shove|v.推挤；撞；乱塞；乱放; n.推；挤
grunt|v.咕哝；（猪等）打呼噜; n.咕哝；呼噜声
livestock|n.家畜；牲畜
waterfall|n.瀑布
chant|n.圣歌；赞美诗；旋律；喊叫; v.吟唱；诵扬；叫喊
parade|n.游行；检阅；游行地; vi.参加游行；阅兵；散步；炫耀; vt.夸耀；使参加游行；检阅；绕行
eldest|adj.最年长的；最老的
loch|n.湖；狭长的海湾
barf|v.呕吐
bind|v.捆绑；装订；约束；强迫；团结; n.窘境
brow|n.前额；眉毛；山脊；表情
blast|n.爆炸；巨响；一阵(强风)；严厉的批评；愉快的经历; v.爆破；摧毁；发出巨响；用力撞击；批评
magically|adv.如魔法般地；用魔法地
humble|adj.谦逊的；粗陋的；卑下的；微末的; vt.使...卑下；贬低
sailors|海员
thoughtfully|adv.深思地；考虑周到地；细心地
instantly|adv.立即地；即刻地
pan|n.平底锅；盘子；盘状物；淘盘；脸；严厉批评; v.严厉批评；（用淘盘）淘金
grab|v.抓住；攫取; n.抓取物；抓
vanity|n.自负；虚荣心；无价值的东西；浮华
tee|n.字母t；形状像字母T的东西; [游戏]目标.; [高尔夫球]发球的球座.; v.将（高尔夫球）置于球座
oceans|n.大洋
rewrite|n.重写；改写; vt.改写；重写; vi.修改
frantically|adv.狂暴地；疯狂似地
chunk|n.矮胖的人或物；厚块（片）；相当大的量; vt.（高尔夫球）没击中; vi.发出猛冲的声音
grandson|n.孙子；外孙
collapsed|adj.倒塌的
blond|adj.金发的; n.金发的人
eternity|n.永远；来世；不朽；漫长的时间
sorrow|n.悲伤；悲痛；懊悔；伤心事; vi.悲伤；惋惜；悔恨
clam|n.蛤；沉默寡言的人; vi.保持沉默；挖蚌
minor|adj.轻微的；较小的；次要的; n.未成年人；辅修科目；[音]小调; v.辅修
monstrous|adj.怪异的；畸形的；巨大的
peacefully|adv.平静地；和平地
persuasion|n.说服；劝说；信念
firmly|adv.牢牢地；坚定地
grand|adj.重大的；豪华的；宏伟的；壮丽的; n.大钢琴；一千美元
soul|n.灵魂；心灵；精神
spiral|n.螺旋；螺旋形之物；不断恶化、增加或减少; v.螺旋移动；盘旋上升；不断恶化、增加或减少; adj.螺旋形的；盘旋的
fasten|vt.拴紧；使固定；系；强加于; vi.固定；系紧；抓紧
respectful|adj.表示尊敬的；有礼貌的；谦恭的
powerless|adj.无力的；无权的；无效能的
squash|n.壁球；摺皱不堪；拥挤嘈杂的人群；浓缩果汁；美国南瓜; vt.压制；压扁; vi.变扁；挤进
gloomy|adj.阴暗的；忧闷的；前景黯淡的
pretended|adj.假的；虚伪的
fingertips|指尖
retreat|n.撤退；改变；隐居处; v.撤退；改变；退避；缩回象棋的棋子
afternoons|adv.每天下午
sprinkle|v.洒；撒；下稀疏小雨; n.少量散布的屑状物
captive|n.俘虏；迷恋者; adj.被俘的；被迷住的
riddle|n.谜；谜语; vt.解谜；出谜题；充满；打洞；筛选; vi.出谜题
hairy|adj.多毛的；长毛的；令人恐怖的；难对付的
shaft|n.柄；竖井；杆状物；矛；轴；（一道）光线; vt.苛刻地对待；装杆于
beast|n.兽；畜牲
aboard|adv.在船上；在火车上；在飞机上; prep.上船；上飞机；上车
enormous|adj.巨大的；庞大的
flip|vt.掷；轻击；弹; vi.翻转; n.（跳水或体操动作中的）空翻；轻弹；浏览; adj.无礼的；冒失的；轻率的
bull|n.公牛；股市看涨的人；警察; n.荒谬的话; n.教皇诏书; adj.公牛的；鲁莽的
fireplace|n.壁炉
fate|n.命运；宿命
dreary|adj.沉闷的；令人沮丧的；情绪低落的
rituals|仪式
tunic|n.束腰外衣；短上衣；被膜
raft|n.筏；木排；救生艇; n.大量; v.乘筏；制成筏
hoax|v.欺骗；哄骗；愚弄; n.愚弄人；恶作剧
reconstruct|v.重建；修复；重现
officially|adv.官方地；正式地；公务上；职务上
marvelous|adj.令人惊异的；非凡的; =marvellous
temple|n.神殿；寺院；庙宇; n.太阳穴，鬓角
drool|v.流口水；垂涎；胡说; n.口水；胡话
oath|n.誓言；誓约；咒骂语
script|n.剧本；脚本；手稿；手迹；字体；考卷
revenge|n.报仇；报复；报复心；雪耻机会; vt.报复；报仇
hoist|v.升起；升高；举起; n.起重机；升高
bet|v.打赌；确信无疑; n.赌注；确信
invasion|n.侵略；侵入
pony|n.小马；小型的东西; v.付清
heartless|adj.无情的；残酷的
triumphant|adj.胜利的；得意洋洋的
faraway|adj.遥远的；远方的；(神情)恍惚的；出神的
proved|v.证明(证明是；检验；勘探；证明；试印)
ghost|n.幽灵；鬼魂; n.[计]美国赛门铁克公司旗下的硬盘备份还原工具
knot|n.结；节; vi.打结; vt.把...打成结；系牢；捆扎
rumble|n.隆隆声；辘辘声; n.(旧式汽车车厢后的)折叠加座; 打群架; v.发隆隆声；使辘辘响
swear|v.咒骂；发誓；宣誓; n.誓言；咒骂；发誓
commence|v.开始；着手；获得学位
motion|n.移动；动作；打手势；示意；提议；大便; v.示意；运动；向...打手势
butt|n.烟蒂；屁股；枪托; n.笑柄；靶垛; n.大酒桶; n.抵撞; v.插嘴；顶撞
hip|n.臀部；髋；屋脊; adj.时髦的；通晓的; int.（欢呼声）嘿
positively|adv.极其；绝对地；十分肯定的；坚定的
memorize|v.记住；记录；记下
linger|vi.徘徊；逗留；消磨；漫步
reincarnation|n.转世；再生
mythology|n.神话；神话学；神话集
dining|n.就餐
pooch|n.狗; vi.膨胀；凸起
robe|n.长袍; v.(使)穿上长袍
sooner|n.抢先占地的人; adv.比预期早; Sooner.; 美国俄克拉荷马州的别名.
regain|v.恢复；重回；复得
buffet|n.自助餐；饮食柜台；打击; vt.连续猛击；打击
chute|n.斜槽；泻物架；瀑布；降落伞; v.用斜槽进料
hoot|n.鸣笛声；猫头鹰叫声；一点点；好笑的人或事; v.大声叫嚣；(汽笛、喇叭等)呜呜作响；哄赶
tuck|v.打摺；卷起；收拢；藏起；大吃; n.缝摺；船底后端；食品
slam|v.砰地关上；猛放；猛烈攻击; n.砰然声；猛烈抨击; n.满贯
serpent|n.蛇；蛇一般的人；狡猾的人
freely|adv.自由地；免费地；直率地；大量地
disorder|n.混乱；杂乱；不适；失调；疾病; vt.扰乱
hunch|n.预感；块；肉峰; v.弯腰驼背
grateful|adj.感激的；令人愉快的
satisfied|adj.感到满意的
fertile|adj.肥沃的；富饶的；能繁殖的；多产的；（创造力）丰富的
pasture|n.牧场；草原; vi.吃草; vt.放牧
squawk|n.叫声；嘈杂的抱怨; v.呱呱地叫鸣；喋喋不休地发牢骚
palaces|宫城
vine|n.藤；蔓；攀爬植物
swan|n.天鹅; vi.闲荡；游荡
strengths|强项
sway|v.摇动；摇摆；支配；影响；说服，使相信; n.摇摆；支配；影响
merchant|n.商人；店主；专家; adj.商业的；商船的; n.（班轮提单）货方；签约方
mortal|adj.致命的；终有一死的；不共戴天的；极度的; n.凡人
um|int.嗯
foolish|adj.愚蠢的；荒谬的；可笑的
tent|n.帐篷; v.住帐篷；宿营
plunge|v.使投入；跳入；栽进；下降，急降，突降; n.投入；跳入
crack|v.破裂；砸开；发出爆裂声；撞击；破解；变嘶哑；崩溃；制裁；开玩笑; n.裂缝；裂痕；爆裂声；猛击；尝试；俏皮话; adj.训练有素的
cast|v.掷；抛；投；铸造；指定演员；加起来；投射(目光)；投(票)；预测; n.演员阵容；投掷；[医]固定用敷料
watery|adj.(似)水的；含水过多的；潮湿的；苍白暗淡的
thumb|n.拇指; v.翻阅；示意要求搭车
magnificent|adj.壮丽的；宏伟的；极好的
hoof|n.蹄；人的脚; v.以蹄踢；行走
demonstrate|vt.证明；演示；示范; vi.示威
fearless|adj.无畏的；大胆的；勇敢的
booming|adj.兴旺的；繁荣的；轰隆作响的
grace|n.优美；优雅；恩惠; vt.使优美；使荣耀
stumble|v.绊倒；蹒跚；犯错误；无意中发现; n.绊倒；错误
finest|adj.好的；出色的
wanna|想要（仅能用于口语；相当于“wantto”或者“wanta”）
beer|n.啤酒
beware|v.小心；谨防
hay|n.干草；一小笔钱；床
flourish|v.茂盛；繁荣；挥舞；活跃; n.挥舞；花样；炫耀；华丽词藻
mighty|adj.强大的；巨大的; adv.很；极其
polka|n.波尔卡舞; v.跳波尔卡舞
miserable|adj.痛苦的；悲惨的；贫乏的；狼狈的
ferry|n.渡船；渡口; vt.摆渡；运输; vi.摆渡
peck|v.啄；连续敲击；轻吻; n.啄痕；啄食；轻吻; n.配克；大量
formerly|adv.以前；从前
bolt|n.门闩；螺栓；一卷布；弩箭; v.（突然）逃离；闩住；狼吞虎咽；用螺栓固定; adv.挺直地
historian|n.历史学家；编史者
tempt|vt.诱惑；怂恿；引诱；吸引
frightened|adj.受惊的
famine|n.饥荒；极度缺乏
fury|n.愤怒；狂暴；狂怒的人；泼妇; Fury.; n.[罗神]复仇女神
lone|adj.孤单的；唯一的；单独的
willow|n.柳树；柳木制品
postcard|n.明信片; adj.如画的
hoo|int.呼!(表示激动；高兴；轻蔑；赞同等)
prophecy|n.预言; =prophesy.
mastermind|n.聪明人；智多星；策划者; v.(巧妙地)策划
huh|int.哼!哈!(表示轻蔑、吃惊或疑问)
steaming|n.汽蒸(蒸烘)
owe|vt.欠（债；钱；人情等）；应当给予；感激；把...归功于
terror|n.恐怖；惊骇；令人惧怕或讨厌的人或事物
detached|adj.超然的；分离的；独立的
withstand|vt.对抗；经得起；承受
stroke|n.中风；击打；一笔（画）；意外的运气; v.击打; v.轻抚；奉承
crook|n.钩；曲柄杖；弯曲；骗子; vi.弯曲；诈骗; vt.使成钩状；使弯曲
halfway|adj.中途的；不彻底的; adv.半路地；在…中间；折中地
uncles|n.叔伯
dreamy|adj.梦幻般的；心不在焉的；不切实际的；轻柔的
grudge|n.怨恨；恶意; vt.不愿；吝惜；嫉妒
limp|n.跛行; adj.柔软的；无力的；软弱的; vi.跛行；蹒跚
robbery|n.抢劫
donkey|n.驴；愚蠢的人
blacksmith|n.铁匠
enlighten|v.启发；开导；教导
herbal|adj.草本植物的; n.(草本)植物志
merry|adj.愉快的；欢乐的；微醉的
disguise|vt.掩饰；假装；假扮; n.伪装；伪装物
splendid|adj.极好的；辉煌的；壮观的；杰出的
goner|n.完蛋的人；无可救药者
immediate|adj.直接的；最接近的；立即的；目前的
angel|n.天使；天使般的人
soak|vt.使浸透；吸入；浸洗；使喝醉；敲竹杠; vi.浸泡；渗透；渗入；酗酒; n.浸；湿透；酒鬼
mouthful|n.一口；又长又拗口的词
doggie|n.小狗；狗；汪汪; adj.狗的；像狗一样的; =doggy.
healer|n.医治者；治疗物
talker|n.说话的人；健谈者
la|n.A音的唱名；第六音; int.啊呀；呀
