deliberate|adj.深思熟虑的；故意的；从容不迫的; v.仔细考虑；研讨
SEN|n.仙(柬埔寨辅币单位)；钱(日本辅币单位)；生(印度尼西亚辅币单位)；分(文莱辅币单位)；仙(马来西亚辅币单位)
fake|adj.假的; n.骗子；假货；欺骗; vt.伪造；伪装; vi.假造
stabilize|v.使安定；使坚固
grab|v.抓住；攫取; n.抓取物；抓
contribution|n.贡献；捐款(赠)；投稿
impetus|n.推动力；刺激
Nik|n.尼克
Deit|戴
diplomatic|adj.外交的；古字体的；老练的
proceeding|n.行动；诉讼程序；会议记录
heighten|v.增加；升高；加强
NEI|n.噪声等效输入(噪声等效强度)
blush|n.脸红；羞愧; vi.泛红；羞愧
recite|vt.背诵；朗诵；叙述；列举; vi.背诵；回答问题
axis|n.轴；中枢
nightmare|n.恶梦；使人极其痛苦的事情或经历；梦魇
Streit|n.斯特赖特
rage|n.狂怒；大怒；狂暴；肆虐；风行; v.大怒；怒斥；激烈进行；肆虐
Reid|n.里德(姓氏；男子名)
incentive|adj.刺激的；鼓励的; n.刺激；鼓励；动机
LTR|abbr.字母；符号；信（=letter）; abbr.打火机（=lighter）
electrician|n.电工；电气技师
charm|n.魅力；吸引力；迷人；美貌; v.（使）着迷；施魔法
fed|n.联邦政府官员; 动词feed的过去式和过去分词
inertia|n.惯性；惰性
NTR|n.航行的时间基准(噪声-温度比)
ULD|=UltrasonicLeakDetector超声探漏器
tutor|n.家庭教师；导师; v.指导；当家庭教师；当导师
handicap|n.障碍; vt.妨碍
TS|abbr.锥形柄(=tapershank); abbr.温度开关(=temperatureswitch); abbr.拉伸强度(=tensilestrength); abbr.工具钢(=toolsteel); abbr.变性者(=transsexual)
REIT|abbr.不动产投资信托公司；房地产投资信托公司(=RealEstateInvestmentTrust)
deadly|adj.致命的；如死一样的; adv.非常地；如死一般地
quart|n.夸脱（容量单位）
exclusive|adj.排外的；独占的；唯一的；完整的；奢华的; n.独家新闻；独权
nu|n.希腊文的第13个字母; NU.; abbr.未知名(=nameunknown)；努纳武特(=Nunavut；加拿大北部地区)
execution|n.处决；执行；实施
cartoon|n.卡通；漫画；草图; vt.为...画漫画
PRIS|=PacificRangeInstrumentationSatellite太平洋靶场测量仪器卫星[美]
lib|n.解放运动; abbr.自由的(=liberal)；图书管(=library)；图书管理员(=librarian)
messenger|n.报信者；先兆
trigger|v.使发生；触发；使运行; n.扳机；起因
per|prep.每；每一；经过；按照
AI|abbr.人工智能=（ArtificialIntelligence）
segment|n.部分；弓形；瓣；段；节; vt.分割
alternate|v.交替；轮流; adj.间隔的；轮流的；交替的; n.代替者；供替代的选择
despatch|vt.派遣；迅速处理; n.运送；派遣；急件; =dispatch（美）
architect|n.建筑师; n.【喻】缔造者；创造者
specification|n.规格；详述
IST|suf.从事...的人；专业人员; suf.具有...特性的
dome|n.圆屋顶；苍穹；脑袋；圆形的火山口; vt.加圆屋顶于...上；使成圆屋顶; vi.成圆顶状
bandage|n.绷带; vt.用绷带包扎
perplex|v.使困惑；使糊涂；使复杂化
currency|n.货币；流通
inclusive|adj.包含...在内的；包罗广泛的；包括端点的; [计算机]包括的
Ik|n.伊克
monopoly|n.垄断；独占；专利；控制
Tei|n.泰（音译名）
jeopardize|vt.危及；使处于危险境地；影响
readily|adv.容易地；迅速地；乐意地；欣然
cling|vi.紧贴；附着；依恋；坚持; n.紧抓；紧贴
shabby|adj.破旧的；寒酸的；低劣的，无耻的；卑劣的
oxide|n.氧化物
detach|vt.使分离；拆卸；派遣; [计算机]脱离.
orient|n.东方；亚洲; adj.东方的; vt.使适应；使…朝向；定...的方位
controversial|adj.有争议的；引起争论的
Klain|n.克莱因
thereafter|adv.其后；从那时以后
ingenious|adj.机灵的；精巧的；有独创性的
nasty|adj.下流的；严重的；令人不快的；难懂的；危害的
magnitude|n.大小；重要；光度；（地震）级数；（星星）等级
bed|n.床；基座；底层；河床；花坛；苗圃；地层; v.安置；发生性关系
athlete|n.运动员
transcend|v.超越；胜过
susceptible|adj.易受外界影响的；易受感染的；容许…的
hinder|v.阻碍；打扰; adj.后面的
imperative|adj.紧要的；必要的；祈使的; n.紧要的事；命令；义务；驱使
pamphlet|n.小册子
complement|vt.相辅相成; n.补足物；补语；余角
dent|n.凹痕；心理阴影；挫伤; vt.弄凹; vi.形成凹陷
Ra|abbr.[化]元素镭（radium）的符号
rigorous|adj.严格的；严厉的；严峻的；细致的
subsidiary|n.子公司；附属机构; adj.辅助的；补贴的；附属的
irony|n.反讽；讽剌之事
duplicate|n.副本; adj.完全一样的；复制的; v.复制；重复
lofty|adj.高的；崇高的；高尚的；傲慢的
sei|n.[动]鲸；大须鲸; abbr.软件工程研究所(=SoftwareEngineeringInstitute)
profound|adj.深奥的；渊博的；极度的；意义深远的
stumble|v.绊倒；蹒跚；犯错误；无意中发现; n.绊倒；错误
assault|n.攻击；突袭；抨击; vt.袭击；突袭
lick|v.舔；轻拍；击败；掠过; n.舔；少许；打；速度
men|n.男人；人; 名词man的复数形式.
mediate|v.调停；斡旋; adj.居间的；间接的
glide|v.滑动；滑翔；溜走; n.滑动；滑过；滑音
enlighten|v.启发；开导；教导
li|n.里(长度单位)
aggravate|vt.恶化；严重
boom|n.繁荣；兴旺；激增；低沉声; n.帆杠；吊杆；支臂；尾桁；水栅; vi.急速增长；发出低沉声; vt.使兴旺；促进
raid|n.突然袭击；突击搜捕；劫掠；集体抛售; v.劫掠；攫取；突击搜捕；袭击
suffice|vi.足够；使满足; vt.使...足够
decisive|adj.决定性的；果断的
UB|n.水下武器
vulnerable|adj.易受伤害的；有弱点的；脆弱的
hi|int.嗨(引人注意时的喊声；打招呼)
Sens|n.桑斯（法国城市名）
Kr|abbr.[化]氪（=krypton）; abbr.(国际象棋中与王同列配置的)车(=king'srook)
bug|n.臭虫；窃听器；[计]漏洞; v.窃听；打扰；失去(镇定)
bless|vt.保佑；祝福；赐福；有幸具有
Breis|布雷斯
competitive|adj.竞争的；有竞争力的；胜过或超过他人的
landscape|n.风景；风景画；山水；[计]横向; v.美化景观
ND|n.[化]元素钕的符号; abbr.北达科他(美国州名)(=NorthDakota); abbr.无日期(=nodate)
laid|vbl.放置；躺下（lay的过去式和过去分词）
incredible|adj.难以置信的；惊人的
heave|v.用力举起；抛出；扔；恶心；（费力地）发出（叹息等）; n.举；抛；起伏
differentiate|vt.区分；使差异；求导数; vi.区别；产生差别；区别对待
explicit|adj.明确的；清晰的；清楚的；露骨的
his|adj.他的; pron.他的
badge|n.象征；标记；徽章；证章; vt.授给...徽章
meadow|n.草地；牧场
detective|n.侦探; adj.侦探的
skeptical|adj.怀疑的
BUL|n.Backuplighting(备用照明)；布勒
PS|abbr.附言(=postscript); abbr.著名图象处理软件（=photoshop)
toss|n.投掷；震荡; v.投掷；摇荡；辗转
indignant|adj.愤慨的；愤愤不平的
pretext|n.借口; v.以…为借口
hurl|v.用力投掷；愤慨地说出；丢下
invert|v.倒置；反转；颠倒; adj.转化的; n.颠倒物；[心]同性恋者
Kripl|克里普尔
mens|n.心灵；精神
Feik|法伊克
Kau|n.高
confront|vt.对抗；遭遇；面临
segregate|v.分离；隔离；分凝; adj.分离的
excel|vt.优于；超过; vi.胜出; n.[计]电子表格（软件名称）
tumble|v.暴跌；倒塌；跌倒；翻滚；弄乱；明白；突然发现; n.暴跌；跌跤；混乱
propagate|v.繁殖；增殖；传播；传送
intricate|adj.复杂的；难懂的
correspondent|n.通讯记者；通信者; adj.与...一致的；相应的
elite|n.精英; adj.精英的；优秀的
bunch|n.串；束；一群；捆; n.突出物；凸起; vt.使成一束(或一群等); vi.隆起；成束成群
streamline|v.使...成流线型；使...合理化；使简化
nsi|(=nosignsofinfection)无传染病征兆,(=nosignsofinflammation)无炎性体征
alert|adj.警觉的；灵敏的; vt.使意识到；警惕; n.警戒；警报
cathedral|n.大教堂
theft|n.偷窃
tribe|n.部落；族；一伙人
commentary|n.实况报道；现场解说；评论；注释
engagement|n.约会；约定；订婚；婚约；雇用；交战；(机器零件等)啮合
yoke|n.轭；轭状物；共轭牛；束缚；纽带；（女）上衣抵肩、裙腰; vt.把...套上轭；使结合；使成配偶; vi.紧密联结
gasp|v.喘气；喘息；渴望; n.喘气
academy|n.学院；学会；专科学校
manoeuvre|n.调动；策略; v.（军队的）调遣；(驱车)移动；操纵；策划; =maneuver(美).
offset|vt.抵消；弥补；用平版印刷; vi.形成分支; n.补偿；平版印刷；支派；弯管；[计]偏移量
Faul|n.福尔（姓氏）
MBL|=MarineBiologicalLaboratory海洋生物实验所[美]
diminish|vt.减少；减损；贬低; vi.变少；逐渐变细
sept|n.氏族；家族; abbr.九月(=September)
clearance|n.清除；清理；清仓甩卖；间隙；许可证；结关；通关
defy|vt.藐视；挑衅；反抗
fascinate|vt.使...入迷；吸引住; vi.有吸引力
dis|prep.反对；否定；加强语气的重要词首；除去
Vai|n.瓦伊人(塞拉勒窝内和利比里亚的曼丁哥人)
inaugurate|v.举行就职典礼；举行仪式；开始；开创
Greiz|n.格赖茨(在德国；东经12&#186;11'北纬50&#186;40')
web|n.网；网络；网状物；腹板; vi.结网; vt.结网于；使陷入罗网
rally|n.集会；（价值等）回升；回合; vi.重整旗鼓；恢复精神；(人)集合起来; vt.嘲弄；重新召集；激励
hug|v.拥抱；紧抱；抱有；挨着; n.拥抱；紧抱
NL|abbr.[棒球]国家联盟(=NationalLeague); abbr.纽芬兰与拉布拉多省(=NewfoundlandandLabrador); abbr.北纬(=NorthLatitude)
VI|abbr.垂直距离；等高线间隔(=VerticalInterval)
MIZ|abbr.咪康唑；賲赖乇；苗子（人名，画坛的知名插画师）；米兹（韩国一家画廊的名字）
