century|n. 世纪，一百年，成百的东西
of|prep. ...的,出生于,住在, 关于
article|n. 文章,物品,条款,冠词 vt. 定契约
blind|adj. 盲目的,瞎的,未察觉的 n. 百叶窗,幌子 vt. 使失明,隐藏 adv. 盲目地
block|n.块； 街区； <英>大楼，大厦； 障碍物，阻碍 vt.阻止； 阻塞； 限制
blood|n. 血,血统,仇恨 vt. 流血
blow|n. 吹；打击；殴打 vi. 风吹；喘气 vt. 风吹
asleep|adj. 睡着的,已死的，不活跃的，麻木的 adv. 处于或进入睡眠状态地，陷入麻木不仁状态地
summer|adj. 夏季的 n. 夏天, 全盛期, 年 vi. 度过夏天 vt. 在夏天保存或存放, 放(羊/牛)
sun|n. 太阳,阳光,中心人物,像太阳般的东西 vt.& vi. 晒太阳
often|adv. 经常
science|n. 科学
board|n. 木板, 甲板, 董事会 n. 伙食; 舞台, 演员的职业; 船舷 vt. 登(飞机、车、船等); 有偿提供食宿; 用木板覆盖 vi. 搭伙
condition|n. 情况, 条件 v. 以...为条件, 决定, 支配, 训练
aunt|n. 伯母, 姑, 婶, 姨
awake|adj. 醒着的,警惕的 vt. 唤醒,唤起,激发 vi. 醒来,恢复意识
away|adv. 远离,离开,出去,连续的,遥远地
as|adv. 同样地, 像 prep. 当做 conj. 当...之时, 像...一样, 因为
back|adj. 后面的，偏远的, 过时的, 积欠的, 向后的 adv. 向后地 n. 后背, 背脊，后面, 靠背 vt. 后退，支持 vi. 后退
borrow|v. 借, 借入, 借用
egg|n. 蛋; (俚语)人
bottle|n. 瓶子 vt.装瓶, 抑制
children|n. 孩子们(child的复数形式)
windy|adj. 有风的, 多风的
boy|n. 男孩,儿子
brain|n.脑； 智慧； 聪明的人； （群体中）最聪明的人 vt.打破...的脑袋； 打...的头部
ball|n. 球, 舞会 v. (把...捏)成球状
cookie|n. 饼干
beat|n. 打,敲打声,拍子,独家报道,一会儿 vt. &vi. 打,打败
bear|n. 熊 v. 忍受,负荷 v. 结果实,生子女
bean|n. 豆
break|n. 休息,中断,破裂 v. 打破,弄破,弄坏
bank|n. 银行,堤,岸 vt. 堆积 vi. 开户, 把...存入银行
dog|n. 狗,卑鄙的人 vt. 尾随,跟踪
lunch|n. 午餐 vi. 吃午餐 vt. 请客吃午餐
control|n. 克制,控制,管制,操作装置 vt. 控制,掌管,支配
conversation|n. 会话,谈话
for|conj. 因为 prep. 给,为，关于,代表,支持,因为,往
word|n. 词, 单词, 消息, 诺言 vt. 用词语表达
African|adj. 非洲的, 非洲人的 n. 非洲人
girl|n. 女孩,女儿
early|adv.&amp;adj. 早
corner|n.角落，角； 拐角； 困境； [商]囤积 vi.驾车转弯； 聚于角落 vt.垄断； 逼入困境 adj.位于角落的
orange|adj. 橙色的 n. 橘子,橙黄色
British|adj. 英国的 n. 英国人, 英国英语
culture|n. 文化,教养,种植 vt. 培养
ship|n. 船,舰,船员,飞船 vt. 以船运送,乘船,运送,进水,在船上工作 vi. 上船,坐船,运送,在船上工作
shirt|n. 衬衫
cough|n. 咳嗽 vt. &vi. 咳嗽
brush|n. 刷子,画笔,轻擦,小冲突, 灌木丛 vt. 用刷子清洗,画,拭去,打发 vi. 轻擦,拂拭
countryside|n. 乡下, 农村
short|adj. 短的,矮的,短暂的 n. 短裤 adv. 短暂地;突然地
build|vt. &vi. 建造，创建，开发，逐渐增强 n. 体格，身材
course|n. 课程, 讲座, 过程, 路线, 一道(菜)
our|pron. 我们的
go|vi. 去, 走, 变得, 进行, 放, 通往, 消失 vt. 走过, 称重 [计算机] 执行
wash|v. 洗, 洗涤, 洗清 n. 洗, 洗濯
computer|n. 计算机
water|n. 水,雨水,海水，潮汐，海域 vt. 浇水,给水喝，给...供水,给（饮料等）掺水 vi. 形成水，喝水
crazy|adj. 疯狂的，荒唐的 n. 荒唐的人 adv. 疯狂地
man|n. 男人,人类,人 vt. 为...配备人手,使...振奋
American|adj. 美国的, 美式的 n. 美国人, 美式英语
butter|n. 黄油,阿谀奉承 vt. 涂黄油
evening|n. 傍晚, 晚上
nurse|n. 护士,保姆,奶妈 vi. 看护,照顾,栽培,当看护 vt. 哺乳,看护
every|adj. 每,每个,每隔...的
cute|adj. 可爱的,聪明的,俐伶的 n. 智取敌方的策略/手段, 灵巧
boring|adj. 令人厌烦的 n. 钻孔
good|n. 善行,好处 adj. 好的,优良的,上等的 [pl.]商品
anyway|adv. 不管怎样
choice|adj. 上等的,精选的 n. 选择,挑选
sister|n. 姐妹，护士长
sit|vt. 坐,担任,开会,孵 vi. 坐,孵 n. 坐
what|pron. 什么,...的事情,无论什么 adv. 什么,怎么 adj. 什么,任何
where|adv.哪里，在哪里； 到哪里； 某种情势或位置 conj.在...的地方 n.地方，场所 pron.哪里
spring|n. 春天, 弹簧, 弹跳, 泉水, 投射 vt. 弹起, 使喷涌, 越过, 弹出, 释放, 发生, 跳, 裂开 vi. 射出, 涌入(出), 发芽, 长高
cut|n. 切口,割伤,降低,份额,删节,割下的一块肉 vt. 切割,减少,停止,修剪 vi. 切割,快速移动 [计算机] 剪掉
sunny|adj. 阳光充足的,晴朗的,明媚的
cake|n. 蛋糕, 薄饼, 块状物, 小菜一碟(容易做成的事) vt. 涂厚厚的一层, 覆盖, 填满 vi. 结成块
white|adj. 白色的,白种的,纯洁的,幸运的 n. 白色,白种人
grass|n. 草 vt. 以牧草喂养,覆盖着草
why|adv. 为什么 conj. ...的理由, 为什么 int. 咳, 哎呀 pron. 为何, 为什么
danger|n. 危险
artist|n. 艺术家, 美术家, 艺人
dark|adj.黑暗的； 乌黑的； 忧郁的； 神秘的 n.黑暗； 暗色； 暗处
boat|n. 船, 船型物体 vt. 放于船上 vi. 划船
day|n. 白天,一天
among|prep. 在...之中
slow|adj. 慢的 adv. 慢慢地 vt.& vi. 放慢,减速
window|n. 窗户
Canadian|adj. 加拿大的，加拿大人的 n. 加拿大人
party|n.社交聚会； 党，党派； 当事人； 同类，伙伴 v.为...举行社交聚会； 为...请客； 参加社交聚会 adj.政党的，党派的； 社交的，聚会的； 共有的，共同的
winter|n. 冬天,年,萧条期 adj. 冬天的,冬季生长的 vt.& vi. 过冬
think|vt.想； 思索； 以为； 看待 vi.思辩； 考虑； 构想； 回忆 adj.深思的； 供思考的 n.想； 想法
cap|n. 帽子,盖子,顶 vt. 给戴帽,覆盖顶端,超过,形成化学键于,抑制 vi. 形成化学键
December|n. 十二月
snow|n. 雪,似雪花的东西,粉状物,下雪 vi. 下雪 vt. 像雪一般落下,使雪白,欺骗
car|n. 小汽车, 车厢, 吊舱
card|n. 卡片,纸牌,名片,打牌,节目单 vt. 附上或提供卡片,印卡,在卡片上列出,检查资格
care|n. 小心,照料,忧虑，慎思，焦虑因素 vi. 关心,照顾,喜爱 vt. 介意,希望 abbr.=Cooperative for American Remittances to Europe 汇款到欧洲合作社
this|adj. &pron. 这,这个
hand|n. 手,掌握,协助 vt. 帮助,给 adv. 手动地,人工地
carry|n. 搬运, 射程, 投射, 联运 vt. 负载, 运输, 传送, 传播, 表达, 带有, 容纳, 承担, 怀孕, 延续, 推动, 赢得, 记录 vi. 负载, 被传达, 容许被运输, 被通过
woman|n. 妇女, 女人
at|prep. 在，向，达 n. 基普(老挝货币基本单位)(=att) abbr. 密封的(=airtight) abbr. 气温（=air temperature） n. [化]砹(极不稳定放射性元素)
minute|adj. 微小的,不重要的,详细的 n. 分钟,一会儿,会议记录 vt. 记录
work|n. 工作,作用,成果,作品,善行,工艺,奏效,建筑工程,工厂,(机械)活动部件 adj. 工作的 vi. 创造, 实现, 有工作, 起作用, 操作, 正常运转, 成功, 产生影响, 逐渐进行, 处理 vt. 造成, 产生, 使运转, 锻造, 奋力达到, 利用
TV|abbr. (=television) 电视, 电视机
pen|n. 钢笔 v. 圈进
pencil|n. 铅笔 v. 用铅笔写
panda|n. 熊猫
fan|n. 风扇,扇形物,狂热者 vt. 风选,煽,吹,煽动,向扇子一样展开 vi. 像扇子一样行动,鱼贯而出
farm|n. 农场,农田 vt. 务农 vi. 务农
celebrate|vt. &vi. 庆祝,祝贺,颂扬
sorry|adj.对不起的； 无价值的，低等的； 遗憾的； 感到伤心的
desk|n. 书桌
monkey|n. 猴子 v. 胡闹, 乱弄
father|n. 父亲,鼻祖 vt. 作为父亲生育子女 vi. 像父亲般照顾
central|adj. 中心的,基本的,折中的,中枢的 n. 电话交流,中央办公室,中心
moon|n. 月亮
favourite|adj. 特别喜爱的 n. 特别喜爱的人(或物)
physical|adj. 身体的,物理的,物质的 n. 体检
great|adj. 大量的, 很好的, 美好的, 伟大的, 重要的 adv. (口语)好极了
today|n.&amp;adv. 今天
young|adj. 年轻的,没有经验的,初期的 n. 青年人,幼崽
toilet|n. 厕所, 卫生间 n. 梳洗打扮,礼服,创口洗涤 vi. 打扮,使用厕所 vt. 穿衣服,帮助孩子或病人使用厕所
kind|adj. 仁慈的,友好的 n. 种类,本质
pig|n. 猪
say|vt. 说,讲,表达,假设,,指示 vi. 说 n. 发言权 adv. 大约
healthy|adj. 健康的
August|n. 八月(大写时） adj. 威严的,尊严的(小写时）
right|adj. 正确的,正直的,合适的,垂直的,右面的，正常的,正面的 n. 权利,右，正义，实况 adv. 正好,恰当,径直地,正确地,立即,非常,向右边 vt. 纠正,扶直,公正对待,伸冤 vi. 复正
warm|adj. 暖和的,快要发现的,热心的,新鲜的 vt. &vi.(使)变暖，（使）变得更友好, 加温 adv. 温暖地
chemistry|n. 化学,化学性质,相互作用
music|n. 音乐,伴奏,美妙的声音
bedroom|n.卧室，寝室 adj.<美>城郊住宅区的； 两性关系的，男女性爱的
child|n.小孩，孩子； 幼稚的人； 产物； 弟子
plane|n.水平； 平面； 飞机； 木工刨 adj.平的，平坦的 vt.用刨刨平； 小船等擦着水面疾驶 vi.鸟滑翔
plant|n. 植物，设施，设备，工厂 v. 种植，建立，设立
sport|n. 运动,游戏,娱乐,玩笑,大度的人 adj. 运动的,休闲的 vt. &vi. 游戏,戏弄,炫耀
name|n. 名字, 名称, 姓名 vt. 命名, 称呼, 任命 adj. 有名的, 著名的
play|n. 游戏,游玩,剧本,比赛,比赛中的动作,影响 vt. &vi. 玩,进行比赛,演奏,播放,捉弄,假装
choose|vt. &vi. 选择
fine|n. 罚款,罚金,结尾 vt. 罚款 vi. 净化，细化 adj. 美好的, 优质的, 精致的，晴朗的, 健康的，纤细的，恭维的，辞藻华丽的 adv. 恰好地，合适地
please|int. 请 vt. 取悦,请,合心意 vi. 取悦,愿意
schoolbag|n. 书包
late|adj. 迟的,晚的,已故的 adv. 很晚,很迟,晚, 最近地
in|prep. 在,在...之内, 穿着,（表示状态或状况）,参与，在...方面
class|n. 班级,(等)阶级,种类 vt. 分类
clear|adj. 清楚的,明确的,澄清的,头脑清醒的 vt. 澄清,清除障碍, 使明亮, 明确 vi. 变清晰, 消失, 放晴 adv. 清楚地, 一直 n. 间隙, 空地, 开旷的地方
clever|adj. 聪明的,机灵的
not|adv. 不 [计算机] "非"
floor|n. 地板,楼层,底部,地面,议员,底线 vt. 铺地板,击倒,油门踩到底
vegetable|n. 蔬菜；植物人；生活单调乏味的人 adj. 植物(性)的；得自植物的；关于植物的；蔬菜的
tall|adj. 高的
cloudy|adj. 多云的
dad|n. 爸爸
they|pron. 他们
doctor|n. 医生,博士 vt. 医治,篡改,对...做手脚 vi. 用药
turn|vt.& vi.使转动； 旋转； 使改变方向； 使不适 vt.使变酸； 使变换； 使变为 n.翻转； （路线或方向的）改变； 机会
football|n. 足球 n. 橄榄球
door|n. 门
how|adv. 如何,怎样,多么,多少 conj. 如何,怎样,以...方式 n. 方式
read|vt.& vi.阅读，朗读； 显示； 研究； 看得懂 vt.显示； 阅读； 读懂，理解 n.阅读； 读物； 读书； 里德（人名） adj.被朗读的； 博识的； 博览的； 有学问的
collect|vt.收集； 收藏； 接走； 聚积 vi.募捐； 募集 adj.由受话人付费的
color|n. 颜色,气色,风格 vt. 把...涂颜色,粉饰 vi. 脸红
down|adj. 向下的,降低的,情绪低落,停止运行 adv. 向下的,下跌,在南方 n. 绒毛,汗毛,轻视 prep. 沿着...而下
baseball|n. 棒球
advice|n. 忠告，建议，劝告
come|vt. 接近，扮演 vi. 来，发生，达到，进入
afford|vt. 提供,负担得起的(后果,损失等),给予
nose|n. 鼻子, 突出部分, 嗅觉 v. 嗅，嗅到
ice|n. 冰, 矜持 v. 冰冻, 结冰
draw|v. (drew, drawn) 拉, 拖, 挨近, 提取, 画, 绘制 n. 平局; 抽签; 拉, 拽吸引人的事物
agreement|n. 同意, 一致, 协议
its|pron.（it的所有格)它的
alive|adj. 活着的,有活力
all|adj. 所有的,全部的 adv. 全部,非常,全然,所有 pron. 全部,所有 n. 全部
almost|adv. 几乎,差不多 adj. 几乎
alone|adj. 单独的,仅仅，独自一人的 adv. 只有,独自地, 独一无二地
under|prep. 在...下,在...内,在...控制下,低于 adv. 在...下,在昏迷中,淹没地 adj. 下面的,从属的,少于的
dress|n. 女装,服装,连衣裙 vt. &vi. 穿著 adj. 正式的(衣服)
light|n. 光,光线,灯,启发,众所周知的,通光口,眼光 adj. 轻的,不重要的,容易的,明亮的,淡色的 vi. 点燃,着火,变亮,下马,落下,碰巧发生 vt. 点燃,照亮 adv. 轻地,轻便的
also|adv. 也, 同样地, 而且
now|n. 现在,此刻 adj. 现存的, 目前的 adv. 现在,立刻 conj. 既然 abbr. =National Organization of Women 全国妇女组织
always|adv. 总是
ancient|adj. 古代的,古老的 n. 古人, 古货币
driver|n. 驾驶员, 司机
between|adv. 在中间 prep. 在...之间
communicate|vt. 传达, 传播 vi. 交流, 沟通, 联通
subject|n. 科目, 主题; 缘由 n. (君主国)国民; 实验对象 adj. 服从的, 易患的 vt. 使隶属, 使服从; 使遭遇
ant|n. 蚂蚁
big|adj. 大的,重要的 adv. 以郑重的方式,大数量 n. 杰出的组织和个人
fly|n. 苍蝇,两翼昆虫,飞行,升高 vt. &vi. 飞,飞翔,逃走,飞逝,猛然移动
bill|n.账单； 钞票； 清单； 广告 vt.安排； 给...开账单； 为...发提（货）单； 把...登录在账 vi.鸟嘴相接触
company|n. 同伴,客人,一群,连队,公司 vt. 陪伴 vi. 联合
anyone|pron. 任何人
anything|pron. 任何事
bird|n. 鸟,家禽,陶土飞靶,伙伴 vi. 观察或辨认鸟
birthday|n. 生日
biscuit|n. 饼干，姜黄褐色
friend|n. 朋友,赞助者,支持者 vt. 做朋友,对人友好
little|adj. 小的 adv. 毫不，少量地 n. 几乎没有（指数量或程度等）
complete|adj. 彻底的, 完整的, 已完成的 vt. 完成; 使圆满, 使完美
black|adj.黑（色）的； 黑色人种的； 黑暗的 n.黑色； 黑人； 黑颜料； 黑暗 v.使变黑； 抵制； 拒绝； 使变黑暗
arm|n. 手臂, 港湾, 狭长地带, 扶手, 袖子, 枪 vt. 装备, 准备(炸弹) vi. 武装自己
blackboard|n. 黑板
army|n. 军队,陆军,大群
fruit|n. 水果 vt. &vi. 结果实
art|adj. 美术(品)的,艺术(品)的 n. 艺术, 技术, 阴谋, 美术
bored|adj. 厌烦的,无聊的
better|adj. 较好的,更好的 adv. 更好地 vt. &vi. 使...更好,超越 n. 更好的事物
old|adj. 老的,过时的,某年龄的,以前的,陈旧的,熟悉的,成熟的 n. 古时,某年龄
ask|vt. 询问, 请求，要求，开价 vi. 询问，恳求
us|pron. 我们(we的宾格)
attention|n. 注意(力),关心,立正
eat|vt. 吃,消耗 vi. 吃,侵蚀 n. 食物
bag|n. 包,猎获物 vt. 鼓起,把...装入袋中,猎杀,占有 vi. 鼓起,宽松地下垂或悬吊
book|n. 书,本子 vt. 登记,预订 vi. 通过...预订
born|vt.bear的过去分词； 支撑，支持； 亲自携带，运输 vi.结果，生产； 和...有关 adj.出生的，出身于...的； 天生的，天赋的
beautiful|adj.美丽的, 漂亮的
both|adj.二者，两者都 pron.二者 adv.二者，二者都 conj.不仅...而且...，...和...都
goodbye|int. 再见 n. 说再见
half|adj. 一半的, 不完全的 adv. 一半地 n. 半, 一半
consider|vt. 考虑, 思考, 认为
are|vi. 是,在(be动词,系动词)
bowl|n. 碗, 物体的碗状部分, 季后赛, 圆形露天剧场 vi. 打保龄球, 快速移动 vt. 投球, 投球得分
box|n. 盒子,箱,专席,亭子,窘境 vt. 装...入盒中,限制住,调和,改变形状,用拳击... vi.参与拳击
begin|vt.& vi.开始； 着手； 创始； 创办 vi.（从...）开始； 起始； 起初是； 开始讲话
get|vt. 使得；获得；受到；变成 vi. 成为；变得；到达
very|adj. 真正的,完全的,自己的,仅仅的,同一个,特别的 adv. 真的,非常
breakfast|n. 早餐 vt. 吃早餐 vi. 提供早餐
breath|n. 呼吸,气息,微风,迹象,精神,一种说话的声音
take|vt.拿，取； 采取； 接受（礼物等）； 耗费（时间等） vi.拿； 获得 n.镜头； 看法； 收入额； 场景
parent|n. 父母,根源 vt. &vi. 抚养,产生
bring|vt. 带来, 引起, 促使, 劝诱 vi. 产生
many|n. 许多人,许多 adj. 许多的 pron. 许多人或物
Africa|n. 非洲
give|vt.& vi.给予； 赠送； 作出 vt.供给； 产生； 举办； （为购买某物或做某事而）支付 vi.（物体）塌下； 让步 n.伸展性，弹性
Britain|n. 不列颠, 英国
English|n.英语 adj.英格兰的； 英国的； 英语的； 英格兰人的
visit|n. 拜访,访问 vt. 拜访,访问,参观 vi. 参观, 巡视, 逗留
arrive|vi. 到达,成功
brother|n. 兄弟, 同胞, 同事, 教友
brown|adj. 褐色的,棕色的 n. 褐色,棕色 (姓)布朗
my|adj. 我的 interj. 用于表示惊讶的感叹词
rain|n. 雨(水), (复数)雨季 vi. 下雨 vt. 使大量落下
country|adj. 国家的, 农村的 n. 国家，乡村，区域
couple|n. 对, 夫妇, 数个 v. 加倍, 成双, 连结
building|n. 建筑物
hello|int.（见面打招呼或打电话用语）喂,哈罗
cover|n. 封面, 盖子, 表面 v. 覆盖, 涉及, 包含
watch|n. 手表,注视 vt. 观察,监视,注视,照顾,等待 vi. 留意,观察
burn|n. 烧伤,灼伤 vt. &vi. 燃烧,烧着,烧毁,灼伤
create|vt. 创造, 造成
no|n. 不, 拒绝, 否决票 adj. 没有, 不是, 绝非 adv. 不
busy|adj. 忙的,杂乱的 vt. 使忙于 vi. 忙
river|n. 江, 河
map|n. 地图 v. 映射,绘制...之地图,计划 [计算机] 存储区分配图
weather|n. 天气,气候,气象 vt. (因受风吹,日晒,雨淋等,使)褪色, 平安度过 vi. 变色,变形, 经受住(困难) adj. 天气预报的, 上风的
by|prep. 被, 经由, 在...之前, 根据 adv. 靠近, 经过, 放在一旁地 adj. 在旁边的, 附带的 n. 次要的事件
cross|n. 十字架,十字架形物件,交叉,交叉路 adj. 生气的,交叉的 vt. 划叉剔除，画横线于 vi. 穿越 prep. 穿过
is|be 的一般现在时单数第三人称陈述语气
week|n. 星期, 周
welcome|vt.欢迎； 乐于接受 adj.受欢迎的； 令人愉悦的； 表示感谢的 n.欢迎，迎接
corn|n. 谷物,谷粒,陈词滥调,鸡眼 vt. 使成颗粒状,用盐水腌制,用谷物喂 vi. 变成颗粒
sing|vt. 唱,鸣唱,用诗赞美,叫,响 vi. 唱歌 n. 合唱
tell|vt. 告诉,说,知道,认出,计数 vi. 讲述,告发,作证,产生效果
cup|n. 杯子 v. (使)成杯形 vt. 使成杯形
maths|n. 数学 =mathematics（英）
when|adv.什么时候； （用于时间的表达方式之后）在那时； 其时； 当时 conj.在...时； 既然； 如果 pron.什么时候； 那时 n.时间，时候； 日期； 场合
apple|n. 苹果
me|pron. 我(宾格)
customer|n. 顾客，家伙
grandfather|n. (外)祖父
exercise|n. 练习,作业,运动 vt. 运用 vi. 锻炼
who|prep. ...的, 谁, 他, 她, 他们 pron. 谁
calendar|n. 日历,月历,日程表 vt. 进入日历
that|pron. 那 adj. 如此的, 上文提到的, 特定的 adv. 非常 conj. 引导宾语从句等从句
easy|adj. 容易的,安逸的,不费力的 adv. 慢慢地, 当心地
dangerous|adj. 危险的,引起危险的
meet|n. 集会,比赛, 运动会 adj. 适宜的,合适的 vt. 遇见,引见,经历,结识,对付,满足,支付 vi. 相遇,集合,交锋,相交
green|adj.绿色的； 未熟的，青春的； 未成熟的； 主张保护环境的 n.绿色蔬菜； 绿色的衣服； 植物 vi.绿化，使重视环境保护问题
their|adj. 他们的,它们的 pron. 他(她,它)们的
camp|n. 露营,帐棚,训练营,做作 vt. &vi. 露营,扎营,做作 adj. 做作的
then|adv. 那么, 当时，然后，于是 adj. 当时的
cancel|n. 取消,撤消 vt. 取消,删去, 约分 vi. 抵消
deal|n. 交易,协定,份量 v. (dealt,dealt[delt])处理,应付,分配
candle|n. 蜡烛
candy|n. 糖果 vt. 用糖煮, 使结晶为砂糖 vi. 结晶为砂糖
crayon|n. 蜡笔, 蜡笔画 v. 以蜡笔作画
ago|adv. 以前
eye|n. 眼睛 v. 看, 注视
capital|n. 首都,资本,大写字母 adj. 大写的,资本的，首要的
Asian|adj. 亚洲的 n. 亚洲人
face|n. 脸, 神情, 面子, 表面 vt. 面对, 朝 vi. 朝, 向
let|vt. 让,容许,释放 vi. 出租,承包 n. 障碍,擦网球
hair|n. 头发, 毛发, 毛织物, 极少量, 极短距离
cannot|&lt;正式&gt;无法，不能
milk|n. 奶, 乳状物 v. 挤乳, 产乳
a|art.一(个), 每一(个), 任一（个）
wonderful|adj. 极好的, 精彩的
PE|abbr. 体育（=Physical Education）
juice|n. 细胞液,内在本质,汽油,果汁,唾液, 体液 vt. 加液体,榨出...的汁液
jump|n. 跳跃,跳动,上涨 vt. &vi. 跳越,突升,惊跳
miss|n.（用于姓名或姓之前，对未婚女子的称呼）小姐； 女士； 失误 v.漏掉； 错过（机会）； 思念； 没遇到
daily|adj. 每日的, 按天计算的, 日常的 adv. 每日,天天 n. 日报, (复)工作样片
basketball|n. 篮球，篮球运动
some|adj. 一些,少许,某一 adv. 大约, 在某种程度上 pron. 一些,一部份,若干
family|adj. 家庭的 n. 家庭
any|adj. 任何的 adv. 稍 det. 一些 prep. 无论哪个 pron. 任何
time|n.时间； 时刻； 时代； 次 vt.为...安排时间； 测定...的时间； 调准（机械的）速度； 拨准（钟、表）的快慢 vi.合拍； 和谐； 打拍子 adj.定时的； 定期的； [美国英语]分期（付款）的
farmer|n. 农夫
fast|adj.快的； 走得快； 感光快的； 紧的 adv.（比准确的时间或宣布的时间）快； 迅速地； 紧紧地； 彻底地 vi.禁食，（尤指）斋戒 n.禁食期，斋戒期； 断食，节食
write|v. 写
tired|adj. 疲劳的,累的,厌烦的
month|n. 月
to|prep. (表示方向)到,向；(表示间接关系)给；离,对于,为了 adv. （表示方向）去,（门）关上
centre|n. 中心,聚集点 vt. 置于中央,关注于 vi. 居中
am|动词be的第一人称形式 vi. 是
certainly|adv. 当然
year|n.年； 年纪； 一年的期间； 某年级的学生
chair|n. 椅子,席位,讲座,要职 vt. 上任,使担任（某事务）的主席,主持
mother|n. 母亲 adj. 母亲的,母体的 vt. 生育,像母亲一样关爱
chance|n. 机会, 意外, 运气, 风险 vi. 偶然发生 vt. 偶然发生, 冒险
speak|vt. 说,声明,表现 vi. 说话,交谈,表达,发出声音
your|pron. 你的, 你们的
head|n. 头脑,领袖,冷静，硬币的正面，顶端，高潮 vt. &vi. 为首,朝向,前进，超过，起源 adj. 首要的，前面的
picture|n. 图画,照片,景色 vt. 画,描写,想像
too|adj. 太, 过于, 也, 还 adv. 也
check|vt.检查，核对； 制止，抑制； 在...上打勾 vi.核实，查核； 中止； 打勾； [象棋]将一军 n.<美>支票； 制止，抑制； 检验，核对
kitchen|n. 厨房
hear|vt. &vi. 听到,得知,倾听,听证
fast|adj.快的； 走得快； 感光快的； 紧的 adv.（比准确的时间或宣布的时间）快； 迅速地； 紧紧地； 彻底地 vi.禁食，（尤指）斋戒 n.禁食期，斋戒期； 断食，节食
write|v. 写
tired|adj. 疲劳的,累的,厌烦的
month|n. 月
to|prep. (表示方向)到,向；(表示间接关系)给；离,对于,为了 adv. （表示方向）去,（门）关上
