visit|v.拜访；参观；闲谈; n.拜访；参观；聊天
way|n.路；路线；方法；方式；作风；样子；方向；出入通道；距离；时间段；地区；方面；情况; adv.非常；远远地; adj.途中的，中途的
will|n.决心；意志；遗嘱；愿望; aux.将；愿意；必须; vt.决心；想要(某事发生)；将(财产)遗赠；规定; vi.愿意
yet|adv.还；已经；仍然; conj.然而；但是
upstairs|adv.在楼上；往楼上；在高处；头脑上; n.楼上; adj.楼上的；上层的
we|pron.我们
win|v.赢；赢得；获胜；获得; n.胜利
yin|n.阴(中国古代哲学用语；与阳相对)
us|pron.我们(we的宾格)
weak|adj.弱的；虚弱的；无力的；差的；淡薄的
wind|n.风；（随食物或饮料）吞下的气；呼吸；气息；管乐器；空谈; v.使喘不过气来；（给婴儿轻轻拍抚后背）使打嗝；吹(号角等)；（路、河等）蜿蜒；缠绕；给…上发条；可上发条；倒（磁带、胶卷等）；转动（把手）; n.弯曲；弯曲处；缠绕；转动；上发条
use|n.使用；用法；使用权；运用; v.利用；对待；使用；吸（烟）；服用（毒品）
wealth|n.【U】财富；财产；丰富；大量
window|n.窗户；橱窗；视窗
you|pron.你；你们；(泛指)任何人
useful|adj.有用的；有益的；实用的
wear|v.磨损；穿戴；使疲劳; n.磨损；穿着；耐久性
wine|n.葡萄酒；酒；紫红色；使人沉醉的东西; vi.喝酒; vt.请...喝酒; adj.深红色的
young|adj.年轻的；初期的；没有经验的; n.青年人；幼崽
usual|adj.通常的；惯常的；惯例的
winter|n.冬季；冬天; adj.冬天的；冬季生长的; vi.过冬; vt.对...进行过冬保护
weather|n.天气；气象；境遇; vt.使风化；经受住；使日晒雨淋; vi.风化；褪色；经受风雨; adj.上风的；天气预报的
your|adj.你的；你们的
value|n.价值；价格；重要性；(pl)价值观；数值; v.估价；重视；评价
Wednesday|n.星期三
wise|adj.聪明的；有智慧的；明智的；有见识的
yours|pron.你的；你们的
vegetable|n.蔬菜；植物；植物人; adj.蔬菜的；植物的
week|n.星期；周
wish|v.希望；想要; n.愿望；命令；渴望；祝颂（表达这个意思时，常用复数）
yourself|pron.你(们)自己；你(们)亲自
verb|n.动词
weekday|n.工作日
with|prep.用；随着；包括；和...一起
yourselves|pron.你们自己；你自己
very|adv.很；完全；正是; adj.恰好的；同一的；真正的；最...的
weekend|n.周末; vi.过周末; adj.周末的
without|prep.没有；无；在外面; adv.在缺乏的情况下；在外面; conj.除非
zebra|n.斑马；斑马线
video|n.录像；视频; v.录制电视节目; adj.视频的；录像的
weight|n.重量；体重；重任；重要; vt.使...负重；使倾斜
wolf|n.狼；特立独行的人; v.狼吞虎咽
zero|n.零；零度；最低点；完全没有；无足轻重的人或物; adj.零的；无价值的；零视度的; v.把...调零；瞄准；集中注意；迫近
view|n.视野；见解；风景；方法；检查; v.考虑；看；把...视为
welcome|vt.欢迎; adj.受欢迎的; n.欢迎; int.欢迎(客人来访或新成员的加入)
woman|n.妇女；女人; adj.女人的
zigzag|n.曲折；之字形; adj.曲折的；锯齿形的; adv.曲折地；成锯齿形地; vt.使曲折; vi.曲折前行
village|n.村庄，乡村，村
well|adv.很好地；相当地; int.好吧；啊; adj.健康的；良好的；适宜的; n.井；源泉；楼梯井; v.涌出
wonder|n.惊奇；惊愕；奇迹；奇观; v.惊奇；想知道；怀疑; adj.奇妙的；非凡的
violin|n.小提琴
west|n.西；西方；西部；西方国家; adj.西方的；西部的; adv.向(在)西方
wonderful|adj.精彩的；极好的
thirtieth|n.第三十；三十分之一
team|n.队；组; v.使相配；使合作；结成一队; adj.团队的
suitable|adj.适宜的；合适的
thirty|num.三十
tower|n.塔；高楼; vi.高耸；胜过
teen|n.(13岁到19岁)青少年; adj.青少年的
suitcase|n.手提箱
town|n.城市；城镇；（某一城镇的）居民；商业区
this|pron.这；这个; adj.这个; adv.这样；这么
teenager|n.青少年；13岁到19岁的年轻人
those|pron.那些; adj.那些
toy|n.玩具
telephone|n.电话; v.打电话
sun|n.太阳；阳光；中心人物; v.晒太阳
trade|n.贸易；交易；行业；同行；顾客；营业额；交易量; v.做生意；从事贸易；购物；营业；(在证券交易所)交易；交换
though|conj.虽然；尽管；然而；可是; adv.（用在句末补充说明使语气减弱）不过
tell|v.告诉；吩咐；讲述；表达；辨别；判断；泄露；告发；产生效果
Sunday|n.星期日; adj.星期日的
traditional|adj.传统的
thought|n.思想；想法；意向；思念；观念；打算；关心；顾虑; v.想，思考，考虑（动词think的过去式和过去分词）
temperature|n.气温；体温；温度；发烧
sunny|adj.阳光充足的；晴朗的；明媚的；快活的; 桑尼，桑妮（人名）
traffic|n.（人或车等）交通流量；不正当生意（走私）; v.做生意（多指违法的）；游览
thousand|n.千; n.【C】成千上万；许许多多
ten|num.十
super|adj.超级的；极好的
three|num.三; n.三；三个; adj.三个的
tragedy|n.悲剧；灾难；惨事
tennis|n.网球
supermarket|n.超级市场
train|n.列车；火车；行列；一系列; vt.训练；培训；瞄准; vi.进行锻炼，接收训练；练习
thrill|n.激动；引起激动的事物；震颤（医学）; v.(使)激动；感到紧张
tense|adj.紧张的；绷紧的；拉紧的; v.拉紧；使紧绷; n.(动词)时态
supper|n.晚饭；晚餐；晚餐会
translate|v.翻译；解释；转移；调动
throat|n.嗓子；喉咙；颈部；嗓音; vt.低语；压着嗓子说(唱)
tenth|n.第十；十分之一
supply|n.供应；补给；贮备; vt.供应；提供；补充
transportation|n.运输；运输工具；运输系统
through|adv.通过；径直；自始至终；(电话)接通；完全; prep.穿过；凭借；一直到; adj.直达的；直通的；贯穿的；完成的；结束的
term|n.学期；术语；条件；条款；期限；名词; vt.把...称为
support|vt.支持；承受；支撑；供养；资助；证实；支援；担任演出嘉宾; n.支持；支撑；援助；供养；依据；助演嘉宾
trash|n.废物；垃圾; vt.废弃；捣毁；擦去; vi.捣毁
throw|v.扔；投；掷；抛; n.抛；投掷
terrible|adj.可怕的；极度的；糟糕的
sure|adj.肯定的；确信的；必定；可靠的；沉着自信的; adv.当然；确实地；无疑地；不用客气
travel|v.旅行；去某地；传播；快速移动；[体]走步; n.旅行；移动
Thursday|n.星期四
terrorist|n.恐怖分子; adj.恐怖主义的
surf|vi.冲浪；浏览; vt.浏览; n.激浪；碎浪
treasure|n.财富；宝物; vt.珍藏；珍视
ticket|n.票；券；标签；罚单；候选人名单; vt.加标签于；售票；开罚单；检票，查验票证
test|n.考验；试验；测试; vt.试验；测试；接受测验
surface|n.表面；外表；平面; adj.表面的；肤浅的; vt.在...上加表层；使...成平面; vi.浮到水面；显露；在表面工作
treat|v.对待；视为；探讨；治疗；处理；请客; n.款待；宴飨
tidy|adj.整齐的；整洁的；相当大的; vt.整理；使整洁; vi.整理；收拾
text|n.正文；文本；课文；原文; v.发短信
surprise|n.惊奇；惊喜；惊讶；突然; vt.使惊奇；使惊喜；突然袭击；惊讶地发现
treatment|n.治疗；对待；处理
tie|n.束缚；使人结合在一起的事物；领带；绳；不分胜负; v.系；约束；捆绑；打结；连结
than|conj.比；除…外（用于other等之后）；与其…（用于rather等之后）；一…就（用于nosooner等之后）; prep.比
survey|n.问卷；测量；调查；纵览；视察; v.调查；审视；研究；测量；勘定；环视
tree|n.树；树状物
tiger|n.老虎；凶残之人
thank|v.感谢；谢谢；责怪; n.谢意；感谢
sweep|v.打扫；掠过；扫视；席卷；全胜；清除; n.清扫；连绵一片；席卷；掠过；范围；搜寻；(竞赛中)全胜；赌金
trip|n.旅行；摔倒；差错；轻快的步伐; vt.使跌倒；使失败；使犯错；起锚；竖帆; vi.绊倒；旅行；轻快地走；失误；结巴
till|prep.直到...为止; conj.直到...为止; n.放钱的抽屉；备用现金；[地质]冰碛土(物); v.耕作
that|pron.那; conj.引导从句; adj.那个；上文提到的; adv.非常；那么地
sweet|adj.甜的；芳香的；悦耳的；漂亮的; n.甜食；糖
trouble|n.困难；烦恼；麻烦; v.使烦恼；麻烦；苦恼；费神
time|n.时间；时代；时期；倍；次数；节拍; v.为…安排时间；计时；[体]在某一时刻击球; adj.时间的；定时的；分期（付款）的；定期的
the|art.那；这；这些；那些; adv.（用于比较级前）更加；用于最高级前；(用于形容词、副词比较级前)越...越...
swim|v.游泳; n.游泳
truck|n.卡车；手推车；敞篷货车; n.交易；交往；商品蔬菜；实物工资；垃圾; v.以卡车运; v.交易；打交道
tiny|adj.极小的；微小的
swing|n.摇摆；改变；冲力；秋千; v.摇摆；旋转；动摇
true|adj.真实的；真的；准确的；精确的；忠诚的; adv.真实地；准确地; n.真相；精确; vt.使...平衡
tired|adj.疲倦的；疲劳的；累的；厌烦的; 动词tire的过去式和过去分词形式.
their|adj.他们的；她们的；它们的
trust|n.信任；信托; vi.信任; vt.相信；委托
theirs|pron.他(她；它)们的
symphony|n.交响乐
truth|n.事实；真理；真实；真相
toast|n.吐司；烤面包; n.祝酒；祝酒词；被祝酒的人; v.烤；烘; v.(为...)祝酒
table|n.桌子；台子；餐桌；一桌人；表格；目录；（竞赛的）排名榜; vt.搁置；将...放于桌上；提交讨论；列入表中; adj.桌子的
them|pron.他们；她们；它们；性别不详的人（代替him或her）
try|v.试验；尝试；设法；努力；审判；考验; n.尝试；试验；（橄榄球）持球触地得分
today|n.今天；当今; adv.今天；当今; adj.现在的
theme|n.主题；题目；主旋律
tag|n.标签；附属物；捉人游戏；谚语；名称; vt.连接；附以签条；尾随；添饰；指责; vi.紧随；尾随
Tuesday|n.星期二
together|adv.共同；一起；协调；一致；连续地; adj.有能力的；镇定的
themselves|pron.他/她/它们自己；他/她/它们亲自；指性别不详的人时用以代替himself或herself; himself/herself/itself的复数.
tail|n.后部；尾巴；尾部；辫子；跟随者; (复）tails:燕尾服；(硬币的)反面; vt.跟踪；盯...的梢；为...装尾巴; vi.尾随；附于其后；逐渐减少
turkey|n.火鸡；笨蛋；失败之作; n.[T-]土耳其
toilet|n.厕所；盥洗室；卫生间
then|adv.那么；然后；当时；而且; adj.当时的; n.当时
take|v.拿；取；执行；需要；接受；理解；修(课程)；花费；吃（喝）；认为；搭乘; n.拿取；取得物
tomato|n.西红柿；蕃茄
turn|v.翻转；旋转；转动；转向；轮流；（使）变得; n.轮流；转动
there|adv.在那里；到那里；从那里; pron.表示存在（与be连用）; n.那个地方；那一点
tale|n.故事；叙述；传说; v.谈论，讲述，搬弄是非；
turtle|n.高翻领；【动】龟，海龟; v.倾覆，翻身；捕龟
tomorrow|adv.明天; n.明天；将来
therefore|adv.因此；所以
talent|n.天赋；才能，才艺；天才；人才；美人
tutor|n.家庭教师；导师; v.指导；当家庭教师；当导师
these|pron.这些; adj.这些的
ton|n.吨；大量
talented|adj.有才能的；有天赋的
tonight|adv.今晚; n.今晚
twelfth|adj.第十二的；十二分之一的; n.第十二；十二日；第十二音
they|pron.他们
talk|v.交谈；商讨；演讲；阐述；劝服; n.谈话；会谈；讨论；讲话；空谈
thick|adj.厚的；浓密的；粗的；愚笨的
twelve|num.十二
too|adv.也；太；而且；很
tall|adj.高的
thief|n.贼；小偷
tape|n.磁带；胶布；终点; v.录音；录像；用胶布粘；用绳子捆绑；用卷尺测量
tool|n.工具；用具；手段；被利用者; vt.用工具加工; vi.使用工具
thin|adj.薄的；瘦的；稀的
task|n.任务；工作; vt.交给某人（任务)；使做艰苦的工作
tooth|n.牙齿；齿状物；粗糙表面；嗜好; （复）teeth:有效手段.
twenty|num.二十
taste|n.味觉；味道；尝试；品味；爱好; v.品尝；有...味道的；体验
thing|n.东西；事情; （复）things:所有物；用具；情况
top|n.顶部；顶；上面；极点；陀螺; adj.最高的；顶端的; vt.形成顶部；达到…的顶端；处于…的最前头; vi.总结；超越；高耸；结束
twice|adv.两倍；两次
tasty|adj.好吃的；有品位的；有趣的
think|v.认为；想；记起；考虑; n.想
topic|n.题目；话题；标题
twin|adj.孪生的；紧密联系的; n.双胞胎之一
taxi|n.出租车; v.用出租车运送；乘计程车；（飞机）滑行
third|num.第三；三分之一; adj.第三的；三分之一的
total|adj.总的；全体的；完全的; n.总数；合计; v.共计；总计
two|num.二；两个
tea|n.茶；茶叶；茶树；茶点
thirsty|adj.口渴的；渴望的
touch|vt.触摸；感动；吃；喝；触及; vi.接触；联系; n.触觉；接触；修饰；少许；痕迹
type|n.类型；典型；铅字; v.打字
teach|vt.教；教导；教授；教训; vi.给予指导
thirteen|num.十三
tour|n.旅游；观光；巡回; v.周游；旅行；巡回
ugly|adj.丑陋的；难看的；令人困窘的；令人不愉快的
teacher|n.教师
thirteenth|num.第十三; n.十三分之一
tourist|n.旅游者；二等舱; adj.观光的；乘坐二等舱的
umbrella|n.伞；雨伞；庇护
sheep|n.绵羊；羊；羊皮
sixteen|num.十六
somewhere|adv.在某处；到某种程度；大约; n.某处
star|n.星；明星; v.以星状物装饰；变成演员
shelf|n.架子；搁板；搁板状物; n.搁置；闲置
sixteenth|n.十六分之一；第十六(个)；月的第十六日; adj.第十六的；十六分之一的
son|n.儿子；孩子（长者对后辈的称呼）
start|v.开始；出发；震惊; n.开始；震动；领先优势；起推动作用的外力
shell|n.壳；炮弹；[计]外壳程序; v.脱落；去壳；拾贝壳；炮轰
sixth|n.六分之一；六度音; num.第六
song|n.歌曲；歌唱；(鸟等)鸣声
state|n.情形；状态；国家；州；政府; adj.国家的；州的；国事礼仪的; v.陈述；声明；说明；规定
shine|v.照耀；出色；发光；投光于；使发光; n.光泽；光辉；阳光；擦皮鞋（美）；喜欢；鬼把戏（复）
sixty|n.六十; adj.六十的；六十个的
statement|n.陈述；声明；【计】语句
soon|adv.不久；很快；早；快
shiny|adj.闪亮的；发光的；擦亮的
size|n.大小；规模；尺寸；尺码；浆料；胶料; v.按大小排列(或分类)；给…上胶; adj.（用于复合词）…大小的
station|n.站；火车站；电视台；社会地位；牧羊场；驻地；岗位; v.驻扎；安置
sorry|adj.对不起的；抱歉的；难过的；遗憾的; int.对不起
ship|n.船；舰; v.装运；(用船)运送；上(船)；乘(船)
skate|v.溜冰；滑冰; n.冰鞋；滑冰
stay|v.停留；逗留；保持; n.停留；逗留
sort|n.种类；某一种人; v.整理；分类；处理；安排妥当
shirt|n.衬衫; v.给…穿上衬衫
steal|v.偷；窃取; n.偷窃；便宜货；(欺诈的)政治交易
skill|n.技能；技艺；技巧；熟练
sound|n.声音；嘈杂声；音乐风格；曲调；印象；感觉；海峡；鱼鳔；探针; v.听起来；感觉起来；发出声音；发音；探测深度；探询; adj.有效的；合理的；可靠的；全面的；健康的；完好的；酣睡的；严厉的; adv.酣畅地
shock|n.震惊；震动；冲击；休克; v.使震惊；使震动；使受电击
step|n.步骤；台阶；舞步；步伐; v.踏；以步测量
soup|n.汤；羹; v.增大威力
skin|n.皮肤；外皮；皮囊; n.惊讶；生气; vt.剥皮；削皮；贴皮；蹭破皮；击败
shoe|n.鞋；鞋状物；蹄铁；制动蹄片; vt.穿鞋；装防护物
stick|n.手杖；枝；杆; vt.刺入；插于；竖起; vi.钉住；坚持，遵守；粘贴；生效，起作用
skirt|n.裙子；下摆；边缘；郊区；挡板; v.装边于；位于(边缘)；绕开
sour|adj.酸的；酸腐的；刻薄的; v.变酸
shoot|v.发射；开枪；疾驰；拍照; n.发射；嫩枝; int.哇!可恶!哎呀!
sky|n.天空；天气；天国; v.把...投向空中；将…高挂
south|n.南；南方; adj.南方的; adv.在南方；向南方；自南方
still|adj.静止的；不动的；静寂的; adv.更；仍然；静止地; v.使...平静下来; n.蒸馏器；寂静；定格照
stomach|n.胃；胃口；腹部; vt.忍受；吃得下
sleep|v.睡觉; n.睡眠；睡觉
southeast|n.东南；东南地区; adj.东南的；向东南的；来自东南的; adv.往东南；来自东南；在东南
short|adj.短的；矮的；短期的；短缺的；简略的；粗暴无礼的；[语]短音的; adv.缺少；未达到；半中间(打断)；过早地(终止); n.烈酒；电影短片；[电]短路; v.(使)短路
stone|n.【U】石料; n.【C】石头；宝石；(水果的)硬核; n.英石(重量单位；合14磅); vt.向...扔石头；去掉(水果的)核
southern|adj.南部的；南方的
slice|n.薄片；部分；曲球; v.切成薄片；割；切开
should|aux.应该；可能；应当；竟然；将要
stop|v.停止；阻止；停留; n.停止；逗留；车站
space|n.空间；处所；太空；空地；空闲；空格；间隙; v.留间隔；分隔；走神；忘记
slide|vi.滑动；下滑；滑入；悄悄地溜走; vt.使滑动; n.幻灯片；滑坡；滑动；雪崩
shoulder|n.肩膀；肩部; v.承担；扛；肩负；(用肩)推挤
slipper|n.拖鞋
store|n.商店；贮藏；充裕; vt.储存；贮藏；保存
spare|adj.备用的；多余的；闲置的; v.抽出；饶恕；赦免；节约; n.备用品；剩余
slow|adj.慢的; adv.慢慢地; v.放慢；减速
shout|v.呼喊；高声呼叫; n.呼喊；大声叫
storm|n.暴风雨; v.起风暴；猛攻；暴怒；捣毁
speak|v.讲；说话；演说；发言
show|v.证明；显现；展示；解说；指示；表示；表现；流露；带路；标示；描绘；陈列；证明；上映；出现; n.表演；展览；显示；行为；样子；景象；场面；表现
small|adj.小的；年幼的；少的；不重要的；小气的; adv.小地；小块地；小声地; n.狭小部分；(pl.)零星物品；(pl.)小件衣服
story|n.故事；传说；谎言；叙述；新闻报道；情节; n.楼层(=storey); v.以历史事件为图案装饰
special|adj.特别的；特殊的；专门的; n.特别的东西；特刊；特色菜；特价
shower|n.淋浴；阵雨；送礼会；(大量)涌泻; v.冲(淋浴)；下(阵雨)；倾注
smart|adj.时髦的；漂亮的；聪明的；敏捷的；整洁的；厉害的; vi.刺痛；难过；烦恼; n.刺痛；苦恼; adv.（=smartly）
specially|adv.特别地；专门地；尤其
straight|adj.直的；坦率的；正直的；准的；连续的；异性恋的; adv.笔直地；直接；坦率地；连续不断地; n.直的东西；传统的人；异性恋者
smell|n.气味；嗅觉；嗅; v.嗅；闻；散发气味；有臭味；察觉
shut|v.关闭；合拢；停止; adj.关闭的；停止营业的; n.关闭
specific|adj.明确的；特殊的；具有特效的; n.特效药；详情；特性
strange|adj.奇怪的；陌生的；生疏或不自在的
specifically|adv.特别地；明确地；具体地
smile|n.微笑；笑容; v.微笑；露出笑容
shy|adj.腼腆的；胆怯的；害羞的
strategy|n.策略；战略
speech|n.演说；演讲；言语；语言能力
smoke|n.烟；抽烟；无常的事物; v.吸烟；以烟熏；冒烟
stream|n.(小)河；水流；(人；车；气)流；组; v.流动；流出；飘动；将(学生)按能力分组
sick|adj.有病的；恶心的；腻烦的；晕的；令人毛骨悚然的; n.病人；呕吐物; vt.追逐；攻击；唆使
side|n.边；侧；边缘；侧面；(多边形的)边；(立体的)面；一方；方面；旁边；家族; adj.旁的；次要的; v.站在…的一边；支持
snake|n.蛇；狡诈的人; v.蜿蜒；拖曳
street|n.街道；马路; adj.街道的
speed|n.速度；迅速; v.加速；急行
sight|n.视力；看见；视线；景物; v.瞄准；看见；观测
snow|n.雪；积雪；下雪; vi.下雪; vt.使变白；雪覆盖
spell|v.拼写；拼成；导致；暂时代替; n.咒语；魔力；一段时间；一阵发作；轮班
stress|n.压力；强调；重音; vt.强调；重读
sign|n.手势；招牌；符号；迹象；正负号; v.签；签名；做手势；做标记
so|adv.那么；这样；如此; adj.真的；非常; pron.这样; conj.因此；所以；以便
spend|n.预算；花销; v.花费；浪费；度过；用尽（气力等）
strict|adj.严格的；精确的；完全的
spider|n.蜘蛛；十字叉；三脚架；长柄平底锅
silent|adj.安静的；不吵闹的；沉默的；无言的
string|n.线；弦；一串；字串; vt.串起；收紧；悬挂；系；扎；抽去筋；使紧张；使兴奋; vi.连成一串
soccer|n.足球，英式足球
silk|n.丝；丝绸；丝织品；丝绸衣服; vi.(玉米)抽穗丝; adj.丝的
spirit|n.精神；心灵；幽灵；精灵; (复)spirits：精力；情绪；烈酒.; v.使精神振作；偷偷带走
strong|adj.强烈的；坚强的；强壮的；强劲的；强大的；确凿的；有影响力的；坚定的；浓的；浓烈的；结实的；可能性大的；擅长的；大量的；稳固的；坚挺的；景气的；强硬的；重读的
social|adj.社会的；社会阶层的；群居的；社交的；好交际的；合群的; n.社交聚会；社会保障
silver|n.银币；银器；银；银灰色; adj.银的；银色的; vt.镀银于；使...成银色
spoken|adj.口语的; 动词speak的过去分词.
structure|n.结构；构造；建筑物; vt.构造；建造；组织
similar|adj.类似的
society|n.社会；(共同遵守一定的习俗、法律等的）特定群体；社团；协会；上层社会；社交圈；交往
student|n.学生；学者
spoon|n.匙；调羹；匙状物; vt.以匙舀起; vi.调情
simple|adj.简单的；朴素的；单纯的；笨的
sock|n.短袜
sport|n.运动；体育; vi.嬉戏；炫耀；戏弄; adj.运动的；户外穿戴的
study|n.研究；学习；学科；书房；(绘画或文学)习作；练习曲；沉思；记忆力…的人；台词记得…的人; v.研究；学习；读书；仔细观察；努力
since|conj.因为；既然；自从; prep.自从; adv.此后
sofa|n.沙发
spot|n.地点；场所；职位；污点；斑点；少量；聚光灯；插播节目; adj.现场的；现货的；插播的; v.（使）产生污渍；玷污；认出；用灯光照射
stupid|adj.愚蠢的；笨拙的；无聊的；乏味的; n.傻瓜
sing|v.唱；鸣叫；歌颂；称赞；告密; n.合唱会; abbr.单数的（=singular）
spotlight|n.照明灯；车头灯；公众注意中心; vt.用聚光灯照；使瞩目
soft|adj.柔软的；柔和的；温和的；不强烈的；轻的; adv.柔软地；温和地; n.柔软的东西
style|n.文体；风格；式样；时尚；类型
singer|n.歌手；鸣禽; n.烧毛工；烧毛机; Singer:辛格(姓氏).
soldier|n.士兵；军人; vi.当兵；坚持做
subject|n.话题；科目；主题；题材；主观；[语]主语; n.实验对象；(君主国)国民; adj.易患的；服从的; vt.使服从；使隶属；使遭遇
spread|v.传播；展开；散布；铺开；伸展；涂撒; n.范围；传播；差额；幅度；盛宴
single|adj.单一的；单个的；特指某人或某物；单身的；单人的；单程的; n.单程票；单曲；单人房间；单身者；一元纸币；(网球)单打比赛；(板球)一分打；(棒球)一垒打; v.挑选(一个)
solid|adj.固体的；实心的；结实的；可靠的; n.固体；立体图形; adv.一致地
spring|n.春天；春季；弹簧；弹力；跳；泉水；源头; v.跳；弹；快速站起；突然提出；触发捕捉器；(使)裂开；爆炸；释放；涌出；生长；出现；耸立；(风)开始吹
subway|n.地铁；地下通道
singular|adj.单数的；奇特的；非凡的; n.单数
solution|n.解决办法；解答；溶液；溶解；设计
square|n.正方形；广场；街区；平方；直角尺；古板的人; adj.正方形的；规矩的；结实的；公正的；断然的; v.一致；结清；收买；使...成方形；使成平方；调整; adv.成直角；直接的；正方形地
succeed|v.成功；继承；接着发生
sink|v.下沉；沉没；渗透；低落；变低；衰弱；（太阳）落下; n.水槽；沟渠；散热器；接收端
staff|n.员工；全体人员；全体职员；拐杖；杆；棒；五线谱; vt.配备员工
solve|v.解决；解答
success|n.成功；成就；胜利；成功的人或事
