travel|v.旅行；去某地；传播；快速移动；[体]走步; n.旅行；移动
sea|n.海；海洋
partially|adv.部分地；不公平地
prey|n.牺牲者；被掠食者，猎物; vi.掠夺；捕食；使...苦恼
buoyancy|n.浮力；弹性；心情愉快
biographic|adj.传记体的
older|adj.年长的
adults|n.成年人；成年动物；成虫; 名词adult的复数
mostly|adv.主要地；通常
munch|v.大声咀嚼
seaweeds|海藻类,海藻
jellyfish|n.水母；海蜇；意志薄弱的人
sting|vt.刺痛；使苦恼；欺诈; vi.叮；刺痛; n.刺；刺痛；讽刺
looks|n.外貌(恒用复数)
longer|adj.比较久的; adv.比较久
float|v.漂浮；浮现；飘动；提出; n.浮标；漂浮物；漂浮
jelly|n.果冻；胶状物; vi.结冻；做果冻; vt.使结冻
dot|n.少量；小圆点；小东西; v.点缀；作小点记号; [计算机]点.
location|n.位置；外景拍摄地；定位；地点
Thailand|n.泰国
photographer|n.摄影师
reusable|adj.可再度使用的；可多次使用的
fewer|adj.少的；越来越少的; adj.较少的; int.较少数
wildlife|n.野生动植物; adj.野生动植物的
track|n.轨道；跑道；踪迹；小路；乐曲; v.追踪；跟踪
Mexico|n.墨西哥
announcement|n.通告；宣布；声明
news|n.新闻；消息
biographic|adj.传记体的
academy|n.学院；学会；专科学校
leading|adj.领导的；指导的；主要的；在前的
adventurous|adj.爱冒险的；大胆的；冒险的；惊险的
canopy|n.天篷；遮篷；苍穹
capture|vt.捕获；占领；夺取；吸引；(用照片等)留存; n.捕获；战利品
male|adj.男性的；雄性的; n.男子；雄性动物
worth|n.价值；财富; adj.值得的；值钱的
worry|vt.撕咬；使烦恼；使焦虑; vi.担心；发愁; n.担心；烦恼；忧虑
work|n.工作；职业；工作内容；职责；活计；工作所需的材料；工作地点；努力；工作成果；行为结果；作品; v.工作；做事；使工作；争取；管理；运行；操作；奏效；产生…影响；造成；抽搐；逐渐移动; [复]works：工厂；修建；机器部件；全套物品
wonder|n.惊奇；惊愕；奇迹；奇观; v.惊奇；想知道；怀疑; adj.奇妙的；非凡的
without|prep.没有；无；在外面; adv.在缺乏的情况下；在外面; conj.除非
wish|v.希望；想要; n.愿望；命令；渴望；祝颂（表达这个意思时，常用复数）
win|v.赢；赢得；获胜；获得; n.胜利
will|n.决心；意志；遗嘱；愿望; aux.将；愿意；必须; vt.决心；想要(某事发生)；将(财产)遗赠；规定; vi.愿意
wild|adj.野生的；野蛮的；未开发的；狂热的; adv.胡乱地；失去控制地; n.荒野；荒地
well|adv.很好地；相当地; int.好吧；啊; adj.健康的；良好的；适宜的; n.井；源泉；楼梯井; v.涌出
weight|n.重量；体重；重任；重要; vt.使...负重；使倾斜
wear|v.磨损；穿戴；使疲劳; n.磨损；穿着；耐久性
way|n.路；路线；方法；方式；作风；样子；方向；出入通道；距离；时间段；地区；方面；情况; adv.非常；远远地; adj.途中的，中途的
watch|v.注视；看守；观看; n.手表；监视；看守；值班
waste|n.废物；浪费；荒地; v.浪费；滥用；消耗; adj.荒芜的；无用的；浪费的
want|v.要；想要；通缉; n.缺乏；贫穷；需求品
walk|v.步行；陪...走；散步；偷走；走过; n.步行；散步；人行道
wake|v.醒来；唤醒；意识到; n.航迹；守夜
