voyage|n.航行，航海; 航天; v.旅行; （尤指）航海旅行
trouble|n.问题，麻烦，困难; 苦恼; 疾病，疼痛; 故障; 纷争，骚乱; 不便; v.使烦恼，使忧虑; 麻烦，打扰; 费心，劳神; 使疼痛
congratulate|v.祝贺; 称赞; 为（自己）感到高兴
illegal|adj.不合法的; n.非法移民
challenging|adj.艰巨的; 有挑战性的; 挑起争议的; 不赞同的; 挑衅的
portable|adj.轻便的; n.手提式电视机
civil|adj.国民的; 民用的; 政府的; 民事的; 斯文的; 有礼貌的; 客气的
disappointed|adj.失望的，灰心的
exist|v.存在; 生存
patent|n.专利权; v.得到专利权; adj.有专利的; 专利生产的; 明显的
status|n.地位; 情形，状态; 身份
unusual|adj.特别的，不寻常的; 独特的，别致的
wisdom|n.智慧; 明智; (社会或文化长期积累的)知识; 普遍看法
modern|adj.现代的; 近代的; 现代化的; 新潮的
dangerous|adj.危险的
dialogue|n.对话; 对白
parcel|n.包袱，包裹; （土地的）一块; 一批，一群; （货物的）一宗; vt.分，区分; 把...划成部分后分配; 给...打成包裹; 把...拼在一起
second|det. 第二（的）; 另外的; adv.以第二名/位; 第二，其次; n.秒; 片刻; 二等货; 二挡; 二级优等学位; 添菜; (拳击或国际象棋锦标赛的)副手; v.赞成; 附议; 临时调任
vital|adj.必要的，至关重要的; 生命的，维持生命所必需的; 生气勃勃的
wild|adj.野生的; 荒凉的; 缺乏管教的; 盲目的; 高兴的; 感情炽烈的; 狂热的; 愤怒的; 双目圆睁的; 未经思索的; 暴风雨的; n.自然环境; 野生状态; 偏远地区
purpose|n.意图，计划; 情势需要; 重要意义; 意志
remain|v.保持不变; 继续存在; 仍需去做; 停留; 剩下
rid|v.（使）去掉，摆脱，消除; adj.摆脱...的
weep|v.哭泣，流泪; 渗出（液体）; n.哭泣; 落泪
witness|n.目击者; 见证人; v.出席; 见证
creature|n.生物，动物; （具有某种特征的）人; 傀儡
enthusiastic|adj.非常感兴趣的，热心的
hard-working|adj.辛勤的
instrument|n.器械; 乐器; 仪器; 工具; 促成某事的人/物; 受利用的人; 文据
stare|v.凝视; n.注视
suffer|v.受苦; 忍受; 变差
visual|adj.视觉的; 视力的; n.视觉材料
adopt|v.领养; 采用; 正式通过; 移居; 承袭; 提名为候选人
aspect|n.方面; 样子，外观; 方位; （语法）体
actual|adj.真实的，实际的; 真正的
accurate|adj.正确的，精确的; 精准的
aim|v.旨在; 决定; 力求达到; 针对; 瞄准; n.目标，意图; 瞄准; 准确性
tendency|n.倾向; 趋势; 偏好; 极端势力
hesitate|v.犹豫; 顾虑
construction|n.建造（方式）; 施工; 建筑（物）; 结构; 创立; 解释
collect|v.收集; 收藏; 领取; 接走; 积累; 聚集; 募捐; 收款; 赢得; 获得; adj.受话人付费的
handle|n.拉手; 把手; 有柄的; 方法; v.应付; 处理; 使用; 驾驶; 拿; 买，卖
approximately|adv.大约; 近似
charge|v.收费; 把...记在账上; 指控，谴责; 猛冲; 赋予...职责; 给...充电; n.收费; 指控; 负责，管理; 被照管的人; 电荷; 火药
quarrel|n.争吵，分歧; 抱怨的理由; v.争吵; 反对
peace|n.和平; 和平运动; 宁静; 平静; 和谐
while|conj.在...期间; 与...同时; 然而; 尽管; n.一会儿
atmosphere|n.大气层; 空气; 氛围，环境; 魅力
furniture|n.家具
unique|adj.唯一的; 独特的; 特有的
admire|v.钦佩，赞赏; 羡慕; 欣赏
front|n.前面; 临街的一面; 身体前部; 海滨道; 战争前线; 阵线; 假面具; 幌子; （冷暖空气团接触的）锋; adj.前面的; 舌前的 ; v.面对; 领导; 作为...的主唱/主持
foreign|adj.外国的; 外交的; 异质的; 陌生的
spread|v.开展; 伸开; 传播; 涂; 分摊; n.散布; 广泛; 酱; 范围
measure|v.衡量; 测量; 量度为...; 估量; n.措施; 相当数量; 体现; 尺度; 判断; 度量单位; 标准量; 计量工具; (音乐的)小节
energetic|adj.积极主动的; 精力旺盛的; 剧烈的
concentrate|v.全神贯注; 使集中; 使浓缩; n.浓缩液
technical|adj.技术的，技能的; 技艺的，技巧的; 专业的
sharpen|v.（使）提高，改善; 加强，加重; （使）变得锋利/清晰; （使声音）变得尖锐
ancient|adj.古代的; 古老的; n.古人
sharp|adj.锋利的; 急转弯的; 敏锐的; 狡猾的; 严厉的; 瘦削的; 时髦的; 急剧的; 强烈的; 鲜明的; 突然而响亮的; 升半音的; adv.（...点）整; 准时地; n.升半音; 锐利的东西
brake|n.制动器; 刹车; 抑制因素; 阻力; 障碍; v.刹车; 减速
celebrate|v.庆祝; 赞美; 主持（圣餐或弥撒）
handful|n.少数，少量; 一把（的量）; 难以控制的人（或动物）; 棘手事
fuel|n.燃料; 刺激物; v.刺激; 加剧; 加燃料
staff|n.全体职工; 行政人群; 拐杖; v.任职于...
comb|n.梳子; 发插; 梳理; 鸡冠; v.四处寻找; 梳理
optimistic|adj.乐观的
rather|adv.相当; 有点儿; 更确切地说; 反而; int. 当然！的确！
responsibility|n.责任，义务; 职责; 过失
approach|v.接近，临近; 对付，处理; 接洽，要求; n.方法，方式; 接近，来临; 接洽，要求; 途径，道路; 相似的事物
amaze|v.使惊奇/惊愕
official|adj.官方的; 公务的; 公开的; 公务的; 冠冕堂皇的; n.官员; 裁判员
separate|v.（使）分开，分离; 分割，划分; 相隔，隔开; 分居; 区分，分别; adj.独立的，分开的; 不同的，不相关的
partner|n.配偶; 同伴; 合伙人; 盟友; v.做...的伙伴; 与...配对
traditional|adj.传统的，习俗的，惯例的; 守旧的
pardon|vt.宽恕; 原谅; 赦免; 劳驾; n.饶恕，原谅; 赦免; [宗]免罪符; int.（用于请求别人重复某事）什么，请再说一遍
predicate|谓语

annual
graduate
joke
Wednesday
announce
field
anxious
pleasure
bridge
engineer
fill
afraid
college
reason
license
america
pocket
wheel
separate
poem
turtle
magazine
please
humorous
communication
necessary
hate
European
information
modest
autograph
press
notice
ticket
underground
biology
cruel
pull
similar
public
dumpling
cousin
society
social
excellent
although
tired
right
disabled
traditional
disable
character
festival
fit
lifestyle
expect
beat
tomorrow
vegetable
thousands
embarrassed
assistant
pity
lazy
aloud
laboratory
silver
offend
natural
unpleasant
laugh
material
phrase
dismiss
cross
cream
symbol
couple
calm
scene
specific
quick
problem
flee
succeed
danger
twice
library
program
injure
waste
string
Saturday
standard
conference
certain
nervous
breath
specially
absent
promise
exercise
woman
own
spend
owner
rich
October
September
August
April
February
January
shook
infinitive
shake
rural
fire
trade
fear
pronunciation
got it
quite
quiet
than
Brazilian
then
bless you
Brazil
horses
glasses
pounds
upstairs
spread
mountain
opportunity
beyond
pleasant
opportunity
passenger
consider
foreign
unimportant
spirit
major
opinion
build
watermelon
elementary
important
final
stream
deal
increase
province
repair
pick
special
accept
medicine
discuss
peace
coach
model
furniture
object
quality
continue
medicine
purpose
district
strict
with
straight
dialogue
hallway
total
guide
hurt
nature
heart
pressure
breakfast
supply
terrible
plastic
diary
convenient
punish
cotton
specifically
documentary
count
deal
pleasure
sure
treasure
bulb
storm
suitable
interest
specifically
firm
clerk
enjoy
soldier
they
design
strategy
result
marriage
rule
dangerous
medium
across
cheer
guilty
ancient
rapid
expensive
conjunction
entertainment
importance
attitude
strict
stress
energy
whole
share
compare
crazy
happy
valley
wife
dollar
private
hen
travel
December
November
May
June
July
March
labor
west
instance
business
girlfriend
people
ugly
suggest
slide
course
topic
review
divide
restaurant
correct
should
treat
treatment
heaven
still
season
illness
fourteenth
worse
eastern
iron
effort
century
recent
beside
pronoun
sugar
size
furry
impossible
possible
daughter
everywhere
board
value
environment
bush
busy
abroad
essay
salad
grammar
cigarette
elder
thief
weight
complain
third
early
empty
activity
us
achieve
aim
tourist
silent
scientist
connect
neither
fetch
search
deaf
thought
discussion
chopsticks
Paris
bow
October
awful
film
criticize
chopsticks
sign
toast
seldom
aggressive
misleading
gym
hole
therefore
climate
occur
seize
pressure
prepare
firm
confirm
court
relief
luggage
