brow|n.前额；眉毛；山脊；表情
whimper|n.呜咽；啜泣；怨声; v.呜咽；啜泣；抽噎地哭；抱怨
hurl|v.用力投掷；愤慨地说出；丢下
slippery|adj.滑的；狡猾的；不可靠的
drown|vi.淹死; vt.淹死；淹没
scissor|n.剪刀
cottonwood|n.[植]三角叶杨；棉白杨; Cottonwood.; n.科顿伍德河(美明尼苏达州河流名)
swamp|n.沼泽；湿地；困境; v.淹没；使陷于困境；使忙于应付
cast|v.掷；抛；投；铸造；指定演员；加起来；投射(目光)；投(票)；预测; n.演员阵容；投掷；[医]固定用敷料
giddyup|对马匹的吆喝声
unbreakable|adj.不易破碎的；牢不可破的
supervise|vt.监督；管理；指导
oath|n.誓言；誓约；咒骂语
zap|v.击溃；射杀；快速移动; n.精力；活力; int.嚓(表示枪声等）
tone|n.语气；音调；调子；色调；风气; v.使更健壮；定调；调色；装腔作势地说
sinew|n.肌肉；精力；原动力; vt.赋予力量；支持
motion|n.移动；动作；打手势；示意；提议；大便; v.示意；运动；向...打手势
wrecker|n.破坏者；拆除业者；拖吊车；打捞者；劫掠者
victorious|adj.胜利的；得胜的
pat|n.轻拍；轻打；小块; v.轻拍；抚摸；拍打
talker|n.说话的人；健谈者
revenge|n.报仇；报复；报复心；雪耻机会; vt.报复；报仇
buffalo|n.水牛；野牛；水陆坦克; vt.威吓；欺骗；迷惑
raven|n.大乌鸦; adj.乌黑的; v.掠夺
mania|n.狂热；癖好；[医]躁狂; suf....狂；对...有过分的热情
bloody|adj.流血的；血腥的；嗜杀的; vt.使流血; adv.[俚]非常
devil|n.魔鬼；淘气鬼；坏人；家伙；棘手的事; vt.困扰；添加辣味调料；给...做助手
pillar|n.柱子；支柱；核心(人物); vt.用柱支持
swoop|v.抓取；猛扑；突然袭击; n.俯冲；攫取；突然袭击
whoa|int.惊叹声；吁(用于命令马止步)
reconstruct|v.重建；修复；重现
hooray|n.叫好声; int.好哇；万岁！; =hurray.
hyperdrive|n.超过光速的推进系统
drawbridge|n.吊桥
hurtling|adj.疾驰的；飞奔的
wont|adj.习惯的; n.习惯；习俗; v.习惯；使习惯于
polka|n.波尔卡舞; v.跳波尔卡舞
aerobics|n.有氧运动；健美操
urn|n.瓮；罐；骨灰盒
brute|n.畜生；残忍的人; adj.残忍的；无理性的；粗暴的
gallop|n.疾驰；飞奔; v.飞驰；急速进行
artifact|n.人工制品；典型产物；【医】非源自脑中的电波，伪差，假象，人为现象
overtime|n.加班时间(加班加点费)；(比赛)延长时间; adv.在规定时间之外(超出时间地)
myths|神话
midair|n.半空中
dreamy|adj.梦幻般的；心不在焉的；不切实际的；轻柔的
technically|adv.技术上；学术上；严密地
raging|adj.狂暴的；非凡的；熊熊燃烧的
grudge|n.怨恨；恶意; vt.不愿；吝惜；嫉妒
temple|n.神殿；寺院；庙宇; n.太阳穴，鬓角
haired|adj.有毛发的；长着...头发的
stool|n.凳子；搁脚凳；便桶；大便; vi.引诱
silently|adv.沉默地；寂静地
combination|n.结合；结合到一起的事物或人；密码
nap|n.小睡；绒毛；纳普牌; vi.打盹；疏忽
chaos|n.混乱；无秩序；混沌
legendary|adj.传说的；传奇的；著名的
captive|n.俘虏；迷恋者; adj.被俘的；被迷住的
jumper|n.跳跃者；跳高运动员；雪橇；[电]跳线; n.无袖连衣裙；套头衫；连衫裤童装；工作夹克
hospitality|n.款待；殷勤；好客；酒店管理
questioningly|adv.质问地；疑惑地；诧异地
detour|n.绕路；便道; v.绕路而行
sullenly|adv.不高兴地；闷闷不乐地
glop|n.软胶质物；浓流体物；难吃或乏味的东西
fleece|n.羊毛；一次剪得的羊毛；羊毛状物; v.欺诈
dart|n.飞镖；投射；突进；缝褶; vi.快速投掷；突然移动; vt.使突然移动
fend|v.照料；挡开；[英口]供养
whine|n.闹声；抱怨；牢骚; v.哭诉；发牢骚
vanity|n.自负；虚荣心；无价值的东西；浮华
rake|n.耙子；耙状物; n.放荡的人; n.斜度；倾角; v.用耙子聚；收集；搜索; v.使倾斜
xvi|n.十六; adj.十六的
beast|n.兽；畜牲
frightened|adj.受惊的
bull|n.公牛；股市看涨的人；警察; n.荒谬的话; n.教皇诏书; adj.公牛的；鲁莽的
foresee|v.预见；预知
swear|v.咒骂；发誓；宣誓; n.誓言；咒骂；发誓
engaged|adj.忙碌的；使用中的；订婚了的
oof|int.哎呦!(被人打到肚子时发出的疼痛声)
fireball|n.(核爆炸后产生的)火球；火流星；精力充沛的人
yech|int.[表示拒绝或厌恶]哟
jealousy|n.妒忌
whoosh|v.飞快地移动; n.嗖的一声；冲出(表示飞快的移动)
farewell|int.再会；别了; n.告别; adj.告别的
courtyard|n.庭院；院子
weekly|adj.每周的；一周一次的；周刊的; n.周刊；周报; adv.每周；一周一次
courier|n.送快信的；急差；旅行服务员
mato|番茄
marvelous|adj.令人惊异的；非凡的; =marvellous
gloomy|adj.阴暗的；忧闷的；前景黯淡的
banish|vt.驱逐；流放；消除
tent|n.帐篷; v.住帐篷；宿营
fie|int.呸（表示不喜欢或不同意）
snakelike|adj.(像)蛇一般的
satisfied|adj.感到满意的
turf|n.草皮；泥炭；赛马场；赛马; v.铺草皮
hoax|v.欺骗；哄骗；愚弄; n.愚弄人；恶作剧
boast|v.自夸；吹牛；以...为荣; n.自夸；引以为荣的事物
blindfold|v.蒙住...的眼睛; n.蒙眼物；盲目; adj.被蒙上眼睛的
towered|adj.高耸的(有塔的)
persuasion|n.说服；劝说；信念
magician|n.魔术师；术士
squint|vi.眯眼看；斜视；窥视；偏移; vt.使斜眼；眯眼看; n.斜视；斜孔小窗；一瞥; adj.斜视的；斜的
destruction|n.破坏；毁灭
sheriff|n.郡治安官；郡长
shepherd|n.牧羊者；牧师；指导者; v.牧羊；照看；引领
knobby|adj.多节的；多瘤的；形成疙瘩的
invisibility|n.看不见；隐形
thunderer|n.怒喝的人
yank|v.猛拉；猛拔
thee|pron.[古]你；汝；你自己
stinky|adj.恶臭的
harness|n.马具；安全带；甲胄；系在身上的绳子; vt.束以马具；披上甲胄；利用；管理；控制
rituals|仪式
braid|n.辫子；穗带; v.编辫子；编织；镶缀
thwack|n.重击；拍打; v.打；强打
hardworking|adj.努力工作的；勤奋的
booming|adj.兴旺的；繁荣的；轰隆作响的
smirk|v.假笑；得意地笑; n.假笑；傻笑
freely|adv.自由地；免费地；直率地；大量地
demonstrate|vt.证明；演示；示范; vi.示威
chinstrap|妇女头巾
magically|adv.如魔法般地；用魔法地
ow|int.哎哟
reincarnation|n.转世；再生
keeper|n.看守人；饲养员；管理者
untangle|v.解开纠结；解开；整顿；清理
goatee|n.山羊胡子
rag|n.破布；碎布；破衣服；（低劣的）报纸
elaborate|adj.详尽的；复杂的；精心的；精美的; v.详细地说明；用心制作；推敲；变得复杂
deaths|死亡人口
happier|adj.更快乐的；更幸福的
seer|n.预言者；先知；占卜者；观看者
officially|adv.官方地；正式地；公务上；职务上
eyelid|n.眼皮；眼睑
blacksmith|n.铁匠
hitch|n.猛拉；急促猛推；跛行；妨碍；免费搭车; vt.拴住；连住；急拉；拉紧；免费搭车; vi.蹒跚；被缠结；免费乘车
fake|adj.假的; n.骗子；假货；欺骗; vt.伪造；伪装; vi.假造
fearless|adj.无畏的；大胆的；勇敢的
tunic|n.束腰外衣；短上衣；被膜
heal|vt.治愈；使恢复健康；使和解; vi.痊愈
bolt|n.门闩；螺栓；一卷布；弩箭; v.（突然）逃离；闩住；狼吞虎咽；用螺栓固定; adv.挺直地
beware|v.小心；谨防
mane|n.(马等的)鬃毛；浓密的头发
thumb|n.拇指; v.翻阅；示意要求搭车
vamoose|vi.匆匆离开；跑掉
gobble|vt.狼吞虎咽；很快用完；发出咯咯叫声; n.咯咯叫声
bearskin|n.熊皮；熊皮衣
humph|int.(表怀疑或不满)哼
aboard|adv.在船上；在火车上；在飞机上; prep.上船；上飞机；上车
clank|n.当啷声; vi.发叮当声
ree|vt.筛(豆等)
crocodile|n.鳄鱼
sunglasses|n.墨镜；太阳镜
swimmer|n.游泳者
whisk|n.拂；扫帚；毛掸子；搅拌器; v.拂；迅速移动；搅拌
groan|v.呻吟；抱怨；发嘎吱声；受重压; n.呻吟；呻吟声
shortage|n.不足；缺少，短缺
eerie|adj.怪诞的；可怕的；奇异的；害怕的
birdie|n.[非正式]小鸟；高尔夫球中得分低于标准杆的一击; v.以低于标准杆的一击得分
blotchy|adj.到处有污点的；有疤的
linger|vi.徘徊；逗留；消磨；漫步
oracle|n.神谕；神谕处；传达神谕的人；能提供可靠意见的人
dictatorship|n.专政；独裁（权）
thereafter|adv.其后；从那时以后
wink|n.眨眼；使眼色；瞬间; v.眨眼；使眼色；闪烁
nonstop|adj.直达的；不断的；不间断的; adv.直达地；不间断地; n.直达车；直达行驶
lefty|n.左撇子；左翼份子; adj.左手的
sickening|adj.引起疾病的
helplessly|adv.无能为力地；无助地
sailors|海员
clam|n.蛤；沉默寡言的人; vi.保持沉默；挖蚌
halfhearted|adj.半心半意的；不热心的；兴趣不大的
hay|n.干草；一小笔钱；床
plunge|v.使投入；跳入；栽进；下降，急降，突降; n.投入；跳入
pasture|n.牧场；草原; vi.吃草; vt.放牧
quest|n.探索；寻求; v.寻找；搜索
lurch|v.突然倾斜；蹒跚地走；(突然感到恐怖或激动时心或胃)猛地一跳(或动); n.举步蹒跚；突然倾斜
thud|n.重击声；砰的一声; v.发出砰的一声
swaddle|vt.束缚；用襁褓包; n.襁褓
amused|adj.愉快的；顽皮的；被逗乐的；觉得好笑的
slump|v.大幅度下跌；猛然瘫坐；使倒下; n.暴跌；低潮状态；(土地)下沉
grab|v.抓住；攫取; n.抓取物；抓
trays|塔板
wanderings|n.漫游;闲逛
peer|n.同辈；同等的人；贵族; vi.凝视；窥视
compound|n.化合物；复合词；复合物; n.院子(用围墙圈起来的场地）; adj.化合的；【语】（词语等）复合的；【植】复合的；【动】群体的; vt.混合；调合；使严重；私了；【经】以复利计算; vi.妥协
priestess|n.尼姑；女祭司；女神职人员
postcard|n.明信片; adj.如画的
unmarried|adj.未婚的；独身的; n.未婚者
molars|磨牙、臼齿（解）Dentesmolares{拉},Densmolaris{拉}
sneaky|adj.鬼祟的；卑鄙的
eyed|adj.眼的（常用于合成词）
hem|n.褶边; vt.缝边；包围；约束
clatter|n.咔嗒声；哗啦声；嘈杂的谈笑声; v.发出哗啦声；咔嗒咔嗒响；喧闹地谈笑；使发出咔嗒声
puppy|n.小狗；自负的小伙子
learners|学习者
girdle|n.腰带；围绕物; vt.以腰带束缚；在...周围绕
furiously|adv.狂怒地；有力地；猛烈地
chrome|n.铬；铬黄；谷歌浏览器; vt.镀铬
hooded|adj.戴头巾的；有兜帽的；有罩盖的；[动]有冠顶的
sob|v.抽泣；呜咽; n.呜咽；哭泣
non|adv.[拉]非；不是
downstream|adv.朝下游方向; adj.顺流的
famine|n.饥荒；极度缺乏
relative|adj.相对的；比较的；相关的; n.亲戚；[语]关系词
invisibly|adv.看不见地；看不出地
snakebites|蛇咬伤
household|n.家庭；户; adj.家庭的；家喻户晓的
knockout|adj.引人注目的；杰出的；迷人的；猛烈的; n.打出；击倒；引人注目的人或物
megaphone|n.扩音器; v.(用扩音器)传达
donkey|n.驴；愚蠢的人
dining|n.就餐
murky|adj.黑暗的；朦胧的；烟雾弥漫的；含糊的；隐晦的
archaeologist|n.考古学家
carpenter|n.木匠; v.做木工活
moan|n.呻吟声；抱怨声; vt.抱怨；呻吟; vi.呻吟；抱怨
gorgon|n.丑陋女人; Gorgon.; n.[希神]戈耳工(蛇发女怪)
dreary|adj.沉闷的；令人沮丧的；情绪低落的
thunderous|adj.打雷的；雷鸣般的；怒气冲冲的
ennead|n.九个一组
droughts|旱灾
unlock|v.开锁；开启；揭开；显露
inverness|n.长披风；带护肩的斗篷
constellation|n.星座；星群
fro|adv.来回（现仅用于toandfro短语中）
crook|n.钩；曲柄杖；弯曲；骗子; vi.弯曲；诈骗; vt.使成钩状；使弯曲
angel|n.天使；天使般的人
riverbank|n.河堤；河岸
tote|vt.携带；手提；搬运; n.手提；装载; n.【英】（赛马、赛狗的）赌金计算器
rightful|adj.正确的；合法的；依法享有权利的
nope|adv.不
lone|adj.孤单的；唯一的；单独的
whap|vt.(轻易)击败；痛打; n.猛击；毒打; =whop.
budge|v.移动；妥协; n.羔皮; adj.浮夸的；庄严的
lid|n.盖子；眼睑; vt.给...装盖子
stirrings|n.渐起;萌芽
chant|n.圣歌；赞美诗；旋律；喊叫; v.吟唱；诵扬；叫喊
goner|n.完蛋的人；无可救药者
hieroglyphs|象形文字
mortal|adj.致命的；终有一死的；不共戴天的；极度的; n.凡人
tug|n.用力拉；拖船; v.用力拉
oops|int.哎呦（表示惊讶；狼狈；很遗憾）
scroll|n.卷轴；画卷；名册；卷形物; v.卷动
superstition|n.迷信；没有根据的理论
arbors|树；乔木
afternoons|adv.每天下午
wool|n.羊毛；毛线；毛织品
mountainside|n.山坡；山腰
shaggy|adj.毛发蓬松的；长浓而粗的；表面粗糙的
sprinkle|v.洒；撒；下稀疏小雨; n.少量散布的屑状物
gotcha|int.这下抓住你了；我明白了; =I'vgotyou(it)!
stink|n.臭味；臭气; vi.发臭味；招人讨厌
convert|v.(使)转变；使…改变信仰；转化；兑换；换算; n.皈依者；改变信仰的人
aimlessly|adv.无目的地；漫无目的地
render|vt.提供；表现；使成为；宣布；翻译；回报；给予补偿；【计】渲染; n.粉刷；打底；交纳
tempt|vt.诱惑；怂恿；引诱；吸引
shipbuilder|n.造船专家造船工程师
peck|v.啄；连续敲击；轻吻; n.啄痕；啄食；轻吻; n.配克；大量
achievement|n.成就；成绩；完成；达到
respectful|adj.表示尊敬的；有礼貌的；谦恭的
lair|n.(野兽的)巢穴；(人的)藏身处
clip|vt.夹住; v.剪短; v.疾驰；猛击; n.夹子；弹夹；回形针；钳; n.修剪；(羊毛的)剪下量；(被剪下的)东西
firstborn|n.长子(或长女); adj.最先出生的
spear|n.矛；标枪; v.刺穿
hilltop|n.山顶
timber|n.木材；木料
hairy|adj.多毛的；长毛的；令人恐怖的；难对付的
hoarse|adj.沙哑的；嘶哑的；刺耳的
eternity|n.永远；来世；不朽；漫长的时间
brass|n.黄铜(制品)；铜管（乐器）；厚脸皮; adj.黄铜的
jus|n.〈拉〉法律原则
mere|adj.仅仅的；纯粹的
revive|vt.使重生；恢复精神；唤醒; vi.复生
clang|v.（使）发出铿锵声；鹤鸣声; n.铿锵声；（鹤等）鸣叫声
writhe|v.挣扎；扭曲；翻腾；受苦; n.扭动；翻腾；苦恼
gree|(使)同意,[苏]优越,杰出,胜利
cattle|n.牛；家畜；畜牲
armor|n.盔甲；装甲
hoo|int.呼!(表示激动；高兴；轻蔑；赞同等)
robe|n.长袍; v.(使)穿上长袍
quake|v.震动；颤抖; n.震动；地震
saddlebag|n.鞍囊；挂包
delight|n.高兴；快乐; v.(使)高兴；(使)欣喜
trickle|vi.滴流；慢慢移动; n.细流；徐徐地流
curdling|凝化
cranky|adj.怪癖的；不稳的
bountiful|adj.充足的；丰富的；慷慨的
dribbler|流涎的人
stomachache|n.胃痛；肚子痛
spew|v.喷出；涌出；呕吐；吐出; n.呕吐物；喷出物
mythical|adj.神话的；虚构的；杜撰出来的
snorkel|n.水下通气管；通气管; vi.用通气管潜航
exhausted|adj.用完的；精疲力竭的
openmouthed|adj.敞口的
crafty|adj.狡猾的；熟练的；巧妙的
forge|vt.锻造；伪造；建立; vi.伪造；做铁匠; n.锻炉；铁匠铺；锻造车间
mornings|n.每天上午；在任何上午
gorgeous|adj.华丽的；灿烂的；极好的
sunspot|n.太阳的黑点；黑子
rosy|adj.玫瑰色的；美好的
daddy|n.爸爸
hotfoot|n.烫脚恶作剧(在别人鞋底与鞋帮之间插入火柴点燃); adv.急忙地；火急地; v.急行
prophecy|n.预言; =prophesy.
chariot|n.二轮战车; v.驾驭战车
saddle|n.鞍；车座；山脊；当权; vt.装以马鞍；使负担; vi.装马鞍
bah|int.呸；哼(表示不赞成的声音)
pee|n.小便; vi.小便
disorder|n.混乱；杂乱；不适；失调；疾病; vt.扰乱
echo|vi.发出回声；回响; vt.重复；模仿；附和; n.回声；重复；共鸣; Echo.; n.[希神]山林女神（失恋于那喀索斯；其哀声留于山间成为回声）
appetite|n.食欲；嗜好；欲望
whittle|v.削(木头)；削减
ah|int.啊；哈; =aah.
encircle|v.包围；环绕
footgear|n.穿在脚的东西
skedaddle|n.逃走
sadly|adv.悲哀地；遗憾的是；极为
bravely|adv.勇敢地
maker|n.制造者；制定者; Maker:上帝.
healer|n.医治者；治疗物
boot|n.靴子；猛踢；解雇；[英]汽车行李箱; vt.踢；穿靴子；逐出；启动(计算机)
bravery|n.勇敢；华丽(的衣服)
revel|vi.狂欢作乐；陶醉; n.作乐；狂欢
kindness|n.仁慈；好意；友好的行为
humble|adj.谦逊的；粗陋的；卑下的；微末的; vt.使...卑下；贬低
scowl|n.愁容；皱眉; v.皱眉；（天空）变阴沉晦暗
stroke|n.中风；击打；一笔（画）；意外的运气; v.击打; v.轻抚；奉承
fairy|n.仙女；小精灵; adj.优雅的；幻想中的；虚构的
chunk|n.矮胖的人或物；厚块（片）；相当大的量; vt.（高尔夫球）没击中; vi.发出猛冲的声音
stable|adj.稳定的；安定的；可靠的; n.马棚；马厩；一批人; v.使（马）入厩；入马棚
aground|adj.搁浅的；触礁的；在地面上的; adv.搁浅地；触礁地；在地上
ox|n.牛；公牛
testily|adv.易怒地；暴躁地
grandson|n.孙子；外孙
grand|adj.重大的；豪华的；宏伟的；壮丽的; n.大钢琴；一千美元
invasion|n.侵略；侵入
enchilada|n.玉米卷饼（墨西哥菜）；整件事情；全部细节
soak|vt.使浸透；吸入；浸洗；使喝醉；敲竹杠; vi.浸泡；渗透；渗入；酗酒; n.浸；湿透；酒鬼
merry|adj.愉快的；欢乐的；微醉的
seashore|n.海滨
flourish|v.茂盛；繁荣；挥舞；活跃; n.挥舞；花样；炫耀；华丽词藻
swan|n.天鹅; vi.闲荡；游荡
boatman|n.出租游艇者；船夫
serpent|n.蛇；蛇一般的人；狡猾的人
unwrapping|v.打开
onward|adj.向前的；前进的; adv.向前；前进
collier|n.煤矿工人；运煤船
tuck|v.打摺；卷起；收拢；藏起；大吃; n.缝摺；船底后端；食品
confusion|n.惶惑；混淆；混乱；不确定状态
pan|n.平底锅；盘子；盘状物；淘盘；脸；严厉批评; v.严厉批评；（用淘盘）淘金
crazily|adv.疯狂地；狂热地
stumble|v.绊倒；蹒跚；犯错误；无意中发现; n.绊倒；错误
seedling|n.幼苗
holler|v.叫喊；发牢骚; n.叫喊；怨言
foolish|adj.愚蠢的；荒谬的；可笑的
sandpit|n.沙坑
rewrite|n.重写；改写; vt.改写；重写; vi.修改
heartless|adj.无情的；残酷的
betcha|int.当然；真的；的确！; =betyou.
waking|adj.醒着的
fingertips|指尖
reassemble|v.重装；再聚集；再汇编
lite|adj.清淡的（指食物或饮料不含卡路里或低糖、低盐、低油脂的）；类似…的劣质品
watery|adj.(似)水的；含水过多的；潮湿的；苍白暗淡的
digest|n.摘要; vt.消化；理解; vi.消化
mouthful|n.一口；又长又拗口的词
splendid|adj.极好的；辉煌的；壮观的；杰出的
huff|n.气恼；愤怒; v.吹气；气喘吁吁；发怒；使膨胀
roomy|adj.广阔的；宽敞的
shove|v.推挤；撞；乱塞；乱放; n.推；挤
smite|v.重击；折磨；迷惑
mastermind|n.聪明人；智多星；策划者; v.(巧妙地)策划
horus|n.何露斯(古代埃及的太阳神)
hurling|n.爱尔兰式曲棍球
scabbard|n.(刀、剑)鞘；枪套
pony|n.小马；小型的东西; v.付清
breastplate|n.护胸甲；腹甲；胸革带
loveliness|n.美丽；可爱
hod|n.砖斗；煤斗
terribly|adv.可怕地；非常地；很
poker|n.扑克; n.戳(或捅)的人；拨火棍
mythology|n.神话；神话学；神话集
heft|n.重量；分量；重要性; v.举起试重量；举起
squawk|n.叫声；嘈杂的抱怨; v.呱呱地叫鸣；喋喋不休地发牢骚
descendent|adj.下降的；降落的；世袭的; n.后代；子孙; =descendant.
falcons|n.婴犬
sneeze|n.喷嚏; vi.打喷嚏
clasp|n.扣子；钩；紧握；握手; v.扣紧；紧握；密切合作
halfway|adj.中途的；不彻底的; adv.半路地；在…中间；折中地
grumble|v.发牢骚；抱怨；轰鸣; n.怨言；牢骚；轰隆声
boar|n.野猪；公猪
yip|v.尖叫；犬吠; n.犬吠声；叫喊声
rebirth|n.新生；再生；复兴
snakebite|n.蛇咬伤
unpunished|adj.不受处罚的；不被处罚的；免去刑法的
nameless|adj.无名的；匿名的；不可名状的
afterlife|n.来世；后来的岁月
maniac|n.疯子；热衷者；躁狂者
fleck|n.斑点；微粒; v.使有斑点
decode|v.解码；译解；译码
blond|adj.金发的; n.金发的人
sword|n.剑；刀
sprouted|adj.萌芽的；发了芽的
crow|n.乌鸦；啼叫；欢叫; v.报晓；啼叫；欢叫；夸口；洋洋自得
beloved|adj.心爱的; n.爱人
nights|adv.每晚；在夜晚
offerings|n.提供之物
scruffy|adj.邋遢的；肮脏的；破旧的
aah|int.啊（用来表示快乐、满意、惊奇）; v.啊（发出啧啧声）; n.啊; =ah
epilogue|n.结尾；收场白; =epilog(美).
magnificent|adj.壮丽的；宏伟的；极好的
archers|射箭运动员
um|int.嗯
