located|adj.处于；位于
piano|n.钢琴; adj.轻柔的; adv.轻柔地
mission|n.使命；代表团；任务；布道
explore|v.探测；探险；考察；探究
named|adj.出名的；命名的；提到过(名字)的
plow|n.犁；耕地; vt.耕犁；费力通过；破浪前行; vi.耕田；费力前进；辛苦进行
agriculture|n.农业；农学；农艺
mechanical|adj.机械的；力学的；呆板的
did|v.做; conj.是；要；做
crowded|adj.拥挤的
railroad|n.铁路；铁路公司; =railway（英）.; vt.由铁道运输；使（议案等）草草通过；迫使仓促行事; vi.在铁路公司工作
image|n.印象；形象；影像；图像；肖像; vt.反映；想像；描绘
conductor|n.售票员；导体；指挥
amp|n.安培数; n.安宝(财富500强公司之一；总部所在地澳大利亚；主要经营保险); vt.使充满活力
quiz|n.恶作剧；测验；问答比赛; v.盘问；对...进行测验
atomic|adj.原子的
lucky|adj.幸运的；带来好运的
offered|v.提供；奉献；提议; vbl.提供；奉献；提议
gasoline|n.汽油; 亦写作gasolene
industrial|adj.工业的；产业的; n.工业公司
working|adj.做工作的；劳动的；工作上的；初步的；暂定的；基本够用的；起作用的; n.矿；作业区; （复）workings：运作；工作方法.
pose|v.摆姿势；把...摆正位置；造成；提出；假装; n.姿态；姿势；装腔作势
evenly|adv.平衡地；平坦地；平等地
larger|adj.更大的；较大的
cricket|n.板球；蟋蟀; vi.打板球
timing|n.时间的掌握；时间的安排；时机；定时
perfectly|adv.完全地；无瑕疵地；完整地；完美地；圆满地
cheaper|adj.比较便宜的
curiosity|n.好奇心；好奇；稀奇的人或物
asteroid|n.小行星；海盘车; adj.星状的
spacecraft|n.宇宙飞船
depression|n.沮丧；萧条
tractor|n.【C】拖拉机；牵引车
throughout|prep.遍及；贯穿; adv.自始至终；到处
series|n.（单复同）系列；丛书；连续
changing|vbl.变更；换车；兑换
patience|n.耐心；忍耐；毅力
overnight|adv.在夜里；过夜；突然; adj.整晚的；很快的
episode|n.一段情节；片段；轶事；插曲
quickly|adv.迅速地；立刻
region|n.地区；范围；领域；地带；地域
dwarf|n.矮子；侏儒; vt.使矮小; vi.变小
forth|adv.向前；向外；露出
arts|n.文科
unstoppable|adj.无法停止的；无法阻碍的
revolution|n.革命；变革；重大改变；旋转
understanding|n.理解；非正式协议；谅解；同情心; adj.有同情心的
biggest|adj.最大的
clock|n.时钟; v.计时；打卡
jet|n.喷气式飞机；喷口；喷射；喷气式发动机; v.喷射；喷出；搭乘喷射式飞机
scout|n.童子军；侦察员；守卫; vt.侦察；物色
browse|v.浏览；随意观看；吃草; n.嫩叶；浏览
quiz|n.恶作剧；测验；问答比赛; v.盘问；对...进行测验
named|adj.出名的；命名的；提到过(名字)的
introduction|n.介绍；引进；序言；导论
decade|n.十年
writers|作家
dock|n.码头；船坞；船埠; v.进(港、码头)
arrival|n.到达；达到；到达者；新生儿
associated|adj.联合的；相关的
biggest|adj.最大的
arts|n.文科
onboard|adj.机上的；装载的; adv.在板子上
cable|n.电缆；缆；索；电报; v.发电报；(通过电缆)交流；(用缆绳)固定
opened|v.开启(公开；开证); adj.开的
launch|v.发起；推出（新产品）；发射；使(船)下水; n.发射；产品推介
incorrect|adj.不正确的；错误的
slavery|n.奴役；奴隶制；奴隶身份
cyclists|运动员
supports|n.支持
section|n.部分；部门；章节；区域；断面；剖面图；零件；路段；切开; v.划分；切开
mayor|n.市长
concrete|adj.具体的；实质性的；混凝土的; n.水泥；混凝土；具体物; v.凝结；结合
anthem|n.圣歌；赞美诗
spacecraft|n.宇宙飞船
larger|adj.更大的；较大的
copyright|n.版权；著作权; v.获得版权; adj.受版权保护的
excited|adj.感到兴奋的；激动的
related|adj.相关的；有亲属关系的；属于同一种类的（或组别的）
soar|vi.翱翔；高飞；猛增；高涨；高耸; n.翱翔；高飞
six|num.六
panel|n.嵌板；仪表盘；面板；座谈小组；陪审团; v.嵌镶
cemetery|n.墓地
capsule|n.胶囊；太空舱；荚膜；概要; v.概括；装入胶囊; adj.精简的；微型的
differently|adv.不同地
memorial|n.纪念碑；纪念物；纪念仪式; adj.纪念的；追悼的
did|v.做; conj.是；要；做
endeavour|v.尽力；努力; n.奋力；尽力; =endeavor(美)
dragon|n.龙
military|adj.军事的; n.军队
giant|n.巨人；巨物；大公司; adj.巨大的
arch|n.拱；拱门；拱状物; v.成拱形；拱起; adj.主要的；调皮的
reserved|adj.保留的；预订的；含蓄的；缄默的
shirts|衬衫
spaceship|n.宇宙飞船
history|n.历史；历史学；对过去事情的记载；过去的事
image|n.印象；形象；影像；图像；肖像; vt.反映；想像；描绘
currently|adv.现在；通常；当前
crew|n.全体船员；全体乘务员；(一组)工作人员；划艇队员; v.当船员；当机务人员
shortly|adv.立刻；马上
agency|n.代理；代理处；政府机构
astronaut|n.宇航员
union|n.结合；工会；联盟；和睦；连接轴；【数】并，并集; adj.联邦政府的；工会的
if|conj.是否；如果；即使；每当; n.条件；设想
road|n.路；道路；途径；方法
