betcha|int.当然；真的；的确！; =betyou.
vicious|adj.恶毒的；恶意的；剧烈的；堕落的
ante|n.(纸牌游戏中发牌钱下的)赌注；(需预付的)款项; v.下赌注；付款; pref.表示“前”
fiercely|adv.猛烈地；厉害地
desperation|n.绝望；铤而走险
clicking|n.微小静电干扰声
gymnastics|n.体操
shortage|n.不足；缺少，短缺
newsroom|n.编辑部；报章杂志阅览室；报纸贩卖部
hurl|v.用力投掷；愤慨地说出；丢下
pendragon|n.古代不列巅或威尔斯的王侯；首领；旨长
unpredictable|adj.不可预知的
shabby|adj.破旧的；寒酸的；低劣的，无耻的；卑劣的
odor|n.气味；名声；气息
outsmart|v.比...更聪明；智胜
sniff|vi.嗅；嗤之以鼻；找出; vt.嗅到；吸入；嗤之以鼻地说; n.嗅；吸气；气味
courageous|adj.勇敢的；有勇气的，有胆量的
gruesome|adj.可怕的；令人毛骨悚然的；阴森的
boot|n.靴子；猛踢；解雇；[英]汽车行李箱; vt.踢；穿靴子；逐出；启动(计算机)
girdle|n.腰带；围绕物; vt.以腰带束缚；在...周围绕
lid|n.盖子；眼睑; vt.给...装盖子
grin|v.露齿而笑；(以咧嘴笑来)表示; n.露齿笑；咧嘴笑
timber|n.木材；木料
maniac|n.疯子；热衷者；躁狂者
ah|int.啊；哈; =aah.
plaything|n.玩具；玩物；被玩弄的人
newly|adv.新近地；重新地
apiece|adv.每人；每个；各
stable|adj.稳定的；安定的；可靠的; n.马棚；马厩；一批人; v.使（马）入厩；入马棚
dire|adj.可怕的；悲惨的；极其的
heal|vt.治愈；使恢复健康；使和解; vi.痊愈
granny|n.奶奶
mankind|n.人类；男人
nonstop|adj.直达的；不断的；不间断的; adv.直达地；不间断地; n.直达车；直达行驶
stomp|vt.跺（脚）；重踏; n.跺脚舞；顿足爵士舞乐曲
fairy|n.仙女；小精灵; adj.优雅的；幻想中的；虚构的
uncover|vt.揭开；揭露
sheriff|n.郡治安官；郡长
sunglasses|n.墨镜；太阳镜
hooded|adj.戴头巾的；有兜帽的；有罩盖的；[动]有冠顶的
reunion|n.团聚；联合
intensive|adj.密集的；彻底的；精细的；强调的; n.(语法)强调成份
immortal|adj.不朽的；永世的; n.不朽的人物；神
peppy|adj.精神充沛的；活泼的
participants|adj.有份的；n
yo|int.唷(水手拉绳时一道发出的叫声)
mellow|adj.成熟的；醇的；熟练的; v.（使）变熟，（使）柔和
peep|n.瞥见；偷看；初现; n.吱吱叫; v.窥视；慢慢露出; v.吱吱叫
victorious|adj.胜利的；得胜的
hitch|n.猛拉；急促猛推；跛行；妨碍；免费搭车; vt.拴住；连住；急拉；拉紧；免费搭车; vi.蹒跚；被缠结；免费乘车
fiend|n.魔鬼；邪神
sneaky|adj.鬼祟的；卑鄙的
relative|adj.相对的；比较的；相关的; n.亲戚；[语]关系词
mischief|n.淘气；恶作剧；捣蛋鬼；损害；伤害
detour|n.绕路；便道; v.绕路而行
slumber|n.睡眠；微睡；休止状态; v.睡觉；打盹；静止；休眠
perfume|n.香水；香气; vt.洒香水于；使香气弥漫
lair|n.(野兽的)巢穴；(人的)藏身处
mornings|n.每天上午；在任何上午
goodwill|n.善意；亲切；友好；商誉；信誉
weary|adj.疲倦的；厌烦的; v.疲倦；厌烦；生厌
devil|n.魔鬼；淘气鬼；坏人；家伙；棘手的事; vt.困扰；添加辣味调料；给...做助手
mere|adj.仅仅的；纯粹的
