seller|n.卖方；售货者；畅销品
traveler|n.旅行者(移式起重机；导丝钩；临时记帐单)
shook|n.(装配木桶或箱；盒等的)一套现成板料; shake的过去式.
|
glare|n.闪耀光；刺眼; v.发眩光；瞪视
Brazil|n.巴西
spooky|adj.幽灵一般的；有鬼一样的；令人毛骨悚然的
ink|n.墨水；墨汁
needle|n.针; vt.用针缝；激怒；嘲弄; vi.缝纫
whopper|n.特大之物；弥天大谎
squawk|n.叫声；嘈杂的抱怨; v.呱呱地叫鸣；喋喋不休地发牢骚
pronunciation|n.发音；读音
rapid|adj.短时间发生的；急速的；迅速的；快的；险峻的; n.急流；湍滩
December|n.十二月
engaged|adj.忙碌的；使用中的；订婚了的
celebrity|n.名人；名誉；社会名流
roughly|adv.粗略地；大约；粗暴地；粗糙地；粗鲁地
pound|n.磅；英镑; n.（汽车）扣押所；宠物收留所; vt.捣碎；敲打；连续猛击; vi.咚咚地走；怦怦地响
conjunction|n.结合；关联；连词；(事件等的)同时发生
counter|n.柜台；筹码；计数器；反驳; adj.相反的; adv.与…相反地; v.反对；反击
thankful|adj.感谢的；感激的
glasses|n.眼镜；双筒镜; 名词glass的复数形式.
whinny|n.马嘶声；嘶声; v.嘶；以嘶声表示
cannon|n.大炮；机关炮; v.开炮；相撞
rural|adj.农村的，乡村的，田园的
orphan|n.孤儿; adj.孤儿的; vt.成孤儿
infant|n.婴儿；幼儿; adj.婴儿的；初期的；幼稚的
January|n.一月
beyond|prep.超出；远于；除...之外；超出…之外; adv.在更远处；另外; n.远处；来世
convention|n.大会；协定；惯例；公约
pillow|n.枕头; vt.枕；搁；垫
groan|v.呻吟；抱怨；发嘎吱声；受重压; n.呻吟；呻吟声
armor|n.盔甲；装甲
bowler|n.玩滚球的人；投球手；圆礼帽
major|adj.较多的；主要的；严重的；(音乐)大调的; n.成年人；主修（科目）；陆军少校；举足轻重者; v.主修
Bless you|祝福你
fluff|n.软毛；绒毛；无价值物；失误; v.（使）变柔软；搞糟；忘词
